dataset,case,serial_id,A,B,C,A_error,B_error,C_error,truth_comparison_identifiable
active-a,wider-float32,8,6.9999999655685645,0.44999999827357995,-0.19999999811356922,-3.443143548054195e-08,-1.7264200624644843e-09,1.8864307893551313e-09,True
active-a,wider-float32,9,7.999999908530385,0.3999999981146458,0.20000000150817324,-9.146961499340023e-08,-1.8853542060881523e-09,1.508173225195364e-09,True
active-a,wider-float32,10,1.246176103662139e-07,0.5000000920945646,0.19999999855820186,1.246176103662139e-07,9.209456464098764e-08,-1.4417981530900903e-09,True
active-a,wider-float32,11,6.999999932045313,0.4499999966235151,0.20000000369745594,-6.795468721065845e-08,-3.376484924988432e-09,3.6974559247671124e-09,True
active-a,wider-float32,12,8.000000018877474,0.39999999839518835,-0.19999999859642065,1.8877473806355738e-08,-1.6048116724398653e-09,1.4035793638456084e-09,True
active-a,mixed-float32,1,5.999999970651103,0.5000000004618496,0.19999999856141054,-2.9348896646297362e-08,4.618495585972937e-10,-1.4385894697710455e-09,True
active-a,mixed-float32,2,0.0001714604572626169,0.4501515127669573,0.19999999977961389,0.0001714604572626169,0.00015151276695729576,-2.2038612601527063e-10,True
active-a,mixed-float32,3,7.999999967748411,0.3999999984251018,0.19999999938586152,-3.225158895503455e-08,-1.5748982118424237e-09,-6.141384900626434e-10,True
active-a,mixed-float32,4,5.999999992474068,0.5000000000051855,-0.19999999857336032,-7.525931877694347e-09,5.185518681116719e-12,1.4266396952677951e-09,True
active-a,mixed-float32,5,6.999999928664872,0.44999999712806305,0.20000000040482474,-7.133512802681707e-08,-2.871936966020172e-09,4.0482472929426194e-10,True
active-a,mixed-float32,6,0.00011446486433640645,0.40011380663937207,0.20000000068565782,0.00011446486433640645,0.00011380663937204938,6.856578083080933e-10,True
active-a,mixed-float32,7,6.000000091964042,0.5000000039957649,0.1999999979346847,9.19640417151868e-08,3.9957649411448415e-09,-2.065315307664406e-09,True
active-a,mixed-float32,8,6.999999965568546,0.44999999827357967,-0.19999999811356906,-3.4431454132288764e-08,-1.7264203400202405e-09,1.886430955888585e-09,True
active-a,mixed-float32,9,7.999999908530384,0.3999999981146458,0.20000000150817376,-9.146961588157865e-08,-1.8853542060881523e-09,1.5081737525513006e-09,True
active-a,mixed-float32,10,1.9420084226763364e-08,0.5000000083810593,0.1999999985582032,1.9420084226763364e-08,8.381059291018289e-09,-1.4417968208224607e-09,True
active-a,mixed-float32,11,6.999999932045318,0.4499999966235152,0.20000000369745552,-6.795468188158793e-08,-3.3764848139661296e-09,3.697455508433478e-09,True
active-a,mixed-float32,12,8.000000018877465,0.3999999983951883,-0.1999999985964203,1.887746492457154e-08,-1.6048117279510166e-09,1.4035797246680914e-09,True
