fixture,original_status,original_iterations,accepted,candidate_equations,reference_updates,root_residual,reference_residual,coordinate_difference_max,weight_difference_max,floor_masks_equal
shape-success-final-32-33-80,0,15,True,19,14,2.142727423712306e-15,7.576041534793536e-11,2.3393927796121604e-11,7.64947549747319e-11,True
shape-success-final-32-33-81,0,29,True,19,24,2.7870427774633514e-15,7.156497616733759e-11,1.074490156963083e-10,8.110898064295213e-10,True
shape-success-final-32-33-82,0,41,True,19,32,1.6271813807981128e-14,9.94248017249788e-11,9.292866306178824e-11,4.603382119938715e-10,True
shape-success-final-32-33-83,0,19,True,19,13,7.458387722715364e-15,9.688601093223829e-11,8.87598591523436e-11,5.216312937150747e-10,True
shape-success-final-32-33-84,0,31,True,19,26,5.649110923489434e-15,9.754008711837514e-11,7.11731247428211e-11,3.104856927116373e-10,True
shape-success-final-32-33-85,0,30,True,19,25,5.098049574277626e-15,9.277689727582583e-11,6.136909097673862e-11,3.273918358637218e-10,True
shape-success-final-32-33-86,0,39,True,19,34,3.774206354613602e-15,8.736787742850697e-11,1.1156890725173152e-10,4.3640557834123683e-10,True
shape-success-final-32-33-87,0,2,True,18,0,1.7345502920970511e-15,1.8295062423448112e-14,9.693405122757095e-16,0.0,True
shape-success-final-32-33-88,0,28,True,19,21,3.5448083766456183e-15,7.114762378439804e-11,2.5527630665246194e-11,1.2014106376412315e-10,True
shape-success-final-32-33-89,0,25,True,19,18,2.634393836516394e-14,6.207866226208284e-11,4.04316911089816e-11,3.765313616455046e-10,True
shape-success-final-32-33-9,0,2,True,18,0,1.9881810286832398e-15,1.0108320525965461e-14,6.374010740115909e-16,0.0,True
shape-success-final-32-33-90,0,24,True,19,21,3.862812314249334e-14,8.460299948691824e-11,2.6134901591716895e-11,1.2335232835170018e-10,True
shape-success-final-32-33-91,0,20,True,19,16,4.7984884711733e-15,9.616912808554112e-11,6.060808514172672e-11,2.722524983234109e-10,True
shape-success-final-32-33-92,0,25,True,20,23,7.791011826626663e-16,9.118910406069537e-11,5.725717571815435e-11,1.7146017938785008e-10,True
shape-success-final-32-33-93,0,2,True,18,0,1.0310131690844104e-15,1.1018818344003084e-14,7.966453573666621e-16,0.0,True
shape-success-final-32-33-94,0,34,True,19,25,5.0514590957150255e-15,7.8017592386459e-11,1.3879570015846048e-10,6.844064759370383e-10,True
shape-success-final-32-33-95,0,33,True,19,26,2.937583042905509e-15,7.051458089239463e-11,8.505964425628648e-11,3.860746167205775e-10,True
shape-success-final-32-33-96,0,27,True,19,23,1.2001587767413438e-14,7.33369342213661e-11,4.21667763508367e-11,1.5887013926629834e-10,True
shape-success-final-32-33-97,0,33,True,19,29,2.861910216559778e-14,7.599588446620925e-11,2.846993372283397e-11,1.55948531865846e-10,True
shape-success-final-32-33-98,0,28,True,19,24,2.5284126150347847e-15,9.173416240667341e-11,4.942789388412233e-11,2.399317411416746e-10,True
shape-success-recovery-current-32-32-0,0,2,True,18,0,4.486576853501252e-15,1.3327246580011612e-14,6.443143442712837e-16,0.0,True
shape-success-recovery-current-32-32-1,0,87,True,21,68,1.2332151846868511e-14,8.677287487739688e-11,8.333376680648742e-11,3.490912003911717e-10,True
shape-success-recovery-current-32-32-10,0,18,True,19,13,6.302440349039028e-15,6.676254141787423e-11,4.1983777525154136e-11,4.565787747878858e-10,True
shape-success-recovery-current-32-32-100,0,2,True,18,0,8.558795212113075e-15,2.7111937274888972e-14,7.985655601353654e-16,0.0,True
shape-success-recovery-current-32-32-101,0,32,True,19,22,1.0446506163884675e-14,9.270774209021274e-11,1.3118909545302905e-10,6.958016940394884e-10,True
shape-success-recovery-current-32-32-102,0,2,True,18,0,8.247280553724446e-15,2.9205342400414305e-14,6.407027159554238e-16,0.0,True
shape-success-recovery-current-32-32-103,0,18,True,19,12,1.2275217465209578e-14,6.990686118551143e-11,3.0279476664821485e-11,4.2662529065040644e-10,True
shape-success-recovery-current-32-32-104,0,22,True,19,10,1.1887420014753666e-13,3.986622143514751e-11,1.509256763332567e-11,1.0148426543565847e-10,True
shape-success-recovery-current-32-32-105,0,15,True,19,12,4.47141266928752e-16,7.64118850335363e-11,2.4183554399215982e-11,7.19249659830723e-11,True
shape-success-recovery-current-32-32-106,0,32,True,19,24,3.181832026517049e-15,8.074718671480241e-11,1.4998554538850442e-10,6.603357860512915e-10,True
shape-success-recovery-current-32-32-107,0,19,True,19,16,6.921203151730623e-15,7.894530295342844e-11,2.9679500280903974e-11,9.476369688954378e-11,True
shape-success-recovery-current-32-32-108,0,45,True,19,47,5.690966767799686e-15,9.340121164574084e-11,6.965788563526611e-11,2.517788200151472e-10,True
shape-success-recovery-current-32-32-109,0,20,True,19,16,1.6402827375900414e-15,8.593890309687408e-11,3.6961996207367526e-11,1.0473777400932249e-10,True
shape-success-recovery-current-32-32-11,0,28,True,19,29,1.2034609582987697e-14,7.494895333923683e-11,2.852530420123268e-11,1.0473083511541859e-10,True
shape-success-recovery-current-32-32-110,0,23,True,19,13,3.056079473167796e-13,8.059505064839035e-11,2.120757574845305e-11,1.9760648672928482e-10,True
shape-success-recovery-current-32-32-111,0,25,True,19,23,4.643552541854986e-15,7.281368915155088e-11,2.0876636429837904e-11,8.878647816956686e-11,True
shape-success-recovery-current-32-32-112,0,25,True,19,16,2.398404897717103e-14,8.539052798184343e-11,4.331543975939689e-11,2.3247670455361913e-10,True
shape-success-recovery-current-32-32-113,0,2,True,18,0,2.6208836181094067e-15,1.529157116676859e-14,1.1236359632942804e-15,0.0,True
shape-success-recovery-current-32-32-114,0,20,True,19,17,3.391757849911523e-15,8.181151022495198e-11,3.2523065149399145e-11,9.421952107402376e-11,True
shape-success-recovery-current-32-32-115,0,21,True,19,16,6.0641056759080095e-15,8.243272731078832e-11,8.280898225773965e-11,5.177538953127225e-10,True
shape-success-recovery-current-32-32-116,0,31,True,28,27,6.950602724959603e-15,8.326103951643069e-11,6.785428974787577e-11,2.0453316817992118e-09,True
shape-success-recovery-current-32-32-117,0,12,True,19,10,2.820661766203644e-15,9.318702186871503e-11,2.5285635017420706e-11,7.657385836523645e-11,True
shape-success-recovery-current-32-32-118,0,76,True,19,66,8.051277372576188e-16,8.909127649655323e-11,1.6262398987062587e-10,6.312916855932826e-10,True
shape-success-recovery-current-32-32-119,0,29,True,19,21,2.237135753313094e-14,7.275100787656169e-11,2.171212971549648e-11,1.4989598451364827e-10,True
shape-success-recovery-current-32-32-12,0,20,True,19,14,4.764143709042275e-15,8.30162605325313e-11,9.216291255230036e-11,5.311061590518307e-10,True
shape-success-recovery-current-32-32-120,0,54,True,19,57,2.855314715421158e-14,9.040774506001964e-11,6.884077069567796e-11,3.251808267101808e-10,True
shape-success-recovery-current-32-32-121,0,34,True,19,27,1.2835066831500684e-14,9.369577336215684e-11,6.783719211954023e-11,3.455406516472692e-10,True
shape-success-recovery-current-32-32-122,0,21,True,19,19,1.4307356910552133e-15,9.870014575238149e-11,5.5594909664068e-11,1.8099732823628756e-10,True
shape-success-recovery-current-32-32-123,0,32,True,19,26,7.492081260398098e-15,8.476837070766455e-11,1.4447082405065163e-10,7.857726136428766e-10,True
shape-success-recovery-current-32-32-124,0,23,True,19,19,6.830359368558393e-15,9.887511994275304e-11,3.261744414968223e-11,8.897560466181176e-11,True
shape-success-recovery-current-32-32-125,0,21,True,19,11,5.832672726594905e-14,7.344603874678105e-11,6.345088866909556e-11,5.125961877183727e-10,True
shape-success-recovery-current-32-32-126,0,34,True,20,36,1.5507911938442899e-15,8.235790648652125e-11,5.515452907845479e-11,1.7316142963963443e-10,True
shape-success-recovery-current-32-32-127,0,14,True,20,39,1.699123234405937e-13,9.823751993335139e-11,1.889612054239014e-12,8.580901544874564e-10,True
shape-success-recovery-current-32-32-128,0,2,True,18,0,6.477826235534646e-16,6.8556994326075015e-15,9.769590980431914e-16,0.0,True
