dataset,case,component,regular,failures,unavailable,derivative_status
regular-near,mixed-double,01:near-0.02:1,True,,,verified
regular-near,first-stage-float32,00:baseline:1,True,,,verified
regular-near,first-stage-float32,01:near-0.02:1,True,,,verified
regular-near,narrower-float32,00:baseline:1,True,,,verified
regular-near,narrower-float32,01:near-0.02:1,True,,,verified
regular-near,wider-float32,00:baseline:1,True,,,verified
regular-near,wider-float32,01:near-0.02:1,True,,,verified
regular-near,mixed-float32,00:baseline:1,True,,,verified
regular-near,mixed-float32,01:near-0.02:1,True,,,verified
regular-three,first-stage-double,00:baseline:1,True,,,verified
regular-three,first-stage-double,01:baseline:1,True,,,verified
regular-three,first-stage-double,02:near-0.10:1,True,,,verified
regular-three,narrower-double,00:baseline:1,True,,,verified
regular-three,narrower-double,01:baseline:1,True,,,verified
regular-three,narrower-double,02:near-0.10:1,True,,,verified
regular-three,wider-double,00:baseline:1,True,,,verified
regular-three,wider-double,01:baseline:1,True,,,verified
regular-three,wider-double,02:near-0.10:1,True,,,verified
regular-three,mixed-double,00:baseline:1,True,,,verified
regular-three,mixed-double,01:baseline:1,True,,,verified
regular-three,mixed-double,02:near-0.10:1,True,,,verified
regular-three,first-stage-float32,00:baseline:1,True,,,verified
regular-three,first-stage-float32,01:baseline:1,True,,,verified
regular-three,first-stage-float32,02:near-0.10:1,True,,,verified
regular-three,narrower-float32,00:baseline:1,True,,,verified
regular-three,narrower-float32,01:baseline:1,True,,,verified
regular-three,narrower-float32,02:near-0.10:1,True,,,verified
regular-three,wider-float32,00:baseline:1,True,,,verified
regular-three,wider-float32,01:baseline:1,True,,,verified
regular-three,wider-float32,02:near-0.10:1,True,,,verified
regular-three,mixed-float32,00:baseline:1,True,,,verified
regular-three,mixed-float32,01:baseline:1,True,,,verified
regular-three,mixed-float32,02:near-0.10:1,True,,,verified
regular-two,first-stage-double,00:baseline:1,True,,,verified
regular-two,first-stage-double,01:weak-1e-2:1,True,,,verified
regular-two,narrower-double,00:baseline:1,True,,,verified
regular-two,narrower-double,01:weak-1e-2:1,True,,,verified
regular-two,wider-double,00:baseline:1,True,,,verified
regular-two,wider-double,01:weak-1e-2:1,True,,,verified
regular-two,mixed-double,00:baseline:1,True,,,verified
regular-two,mixed-double,01:weak-1e-2:1,True,,,verified
regular-two,first-stage-float32,00:baseline:1,True,,,verified
regular-two,first-stage-float32,01:weak-1e-2:1,True,,,verified
regular-two,narrower-float32,00:baseline:1,True,,,verified
regular-two,narrower-float32,01:weak-1e-2:1,True,,,verified
regular-two,wider-float32,00:baseline:1,True,,,verified
regular-two,wider-float32,01:weak-1e-2:1,True,,,verified
regular-two,mixed-float32,00:baseline:1,True,,,verified
regular-two,mixed-float32,01:weak-1e-2:1,True,,,verified
regular-weak,first-stage-double,00:baseline:1,True,,,verified
regular-weak,first-stage-double,01:weak-1e-4:1,False,derivative,,resolution-unverified
regular-weak,narrower-double,00:baseline:1,True,,,verified
regular-weak,narrower-double,01:weak-1e-4:1,False,derivative,,resolution-unverified
regular-weak,wider-double,00:baseline:1,True,,,verified
regular-weak,wider-double,01:weak-1e-4:1,False,derivative,,resolution-unverified
regular-weak,mixed-double,00:baseline:1,True,,,verified
regular-weak,mixed-double,01:weak-1e-4:1,False,derivative,,resolution-unverified
regular-weak,first-stage-float32,00:baseline:1,True,,,verified
regular-weak,first-stage-float32,01:weak-1e-4:1,False,local_correction;derivative,,resolution-unverified
regular-weak,narrower-float32,00:baseline:1,True,,,verified
regular-weak,narrower-float32,01:weak-1e-4:1,False,derivative,,resolution-unverified
regular-weak,wider-float32,00:baseline:1,True,,,verified
regular-weak,wider-float32,01:weak-1e-4:1,False,derivative,,resolution-unverified
regular-weak,mixed-float32,00:baseline:1,True,,,verified
regular-weak,mixed-float32,01:weak-1e-4:1,False,derivative,,resolution-unverified
regular-zero,first-stage-double,00:baseline:1,True,,,verified
regular-zero,first-stage-double,01:zero-signal:1,False,identified;derivative;precision_feasibility,,transition-unverified
regular-zero,narrower-double,00:baseline:1,True,,,verified
regular-zero,narrower-double,01:zero-signal:1,False,identified;derivative;regular_active_face,,transition-unverified
regular-zero,wider-double,00:baseline:1,True,,,verified
regular-zero,wider-double,01:zero-signal:1,False,identified;derivative,,transition-unverified
regular-zero,mixed-double,00:baseline:1,True,,,verified
regular-zero,mixed-double,01:zero-signal:1,False,identified;derivative;regular_active_face,,transition-unverified
regular-zero,first-stage-float32,00:baseline:1,True,,,verified
regular-zero,first-stage-float32,01:zero-signal:1,False,local_correction;derivative,,transition-unverified
regular-zero,narrower-float32,00:baseline:1,True,,,verified
regular-zero,narrower-float32,01:zero-signal:1,False,local_correction;derivative,,transition-unverified
regular-zero,wider-float32,00:baseline:1,True,,,verified
regular-zero,wider-float32,01:zero-signal:1,False,local_correction;derivative,,transition-unverified
regular-zero,mixed-float32,00:baseline:1,True,,,verified
regular-zero,mixed-float32,01:zero-signal:1,False,local_correction;derivative,,transition-unverified
weak-1e-2,first-stage-double,1,True,,,verified
weak-1e-2,narrower-double,1,True,,,verified
weak-1e-2,wider-double,1,True,,,verified
weak-1e-2,mixed-double,1,True,,,verified
weak-1e-2,first-stage-float32,1,True,,,verified
weak-1e-2,narrower-float32,1,True,,,verified
weak-1e-2,wider-float32,1,True,,,verified
weak-1e-2,mixed-float32,1,True,,,verified
weak-1e-4,first-stage-double,1,False,derivative,,resolution-unverified
weak-1e-4,narrower-double,1,False,derivative,,resolution-unverified
weak-1e-4,wider-double,1,False,derivative,,resolution-unverified
weak-1e-4,mixed-double,1,False,derivative,,resolution-unverified
weak-1e-4,first-stage-float32,1,False,local_correction;derivative,,resolution-unverified
weak-1e-4,narrower-float32,1,False,local_correction;derivative,,resolution-unverified
weak-1e-4,wider-float32,1,False,derivative,,resolution-unverified
weak-1e-4,mixed-float32,1,False,local_correction;derivative,,resolution-unverified
zero-signal,first-stage-double,1,False,identified;derivative,,transition-unverified
zero-signal,narrower-double,1,False,identified;derivative,,transition-unverified
zero-signal,wider-double,1,False,identified;derivative,,transition-unverified
zero-signal,mixed-double,1,False,identified;derivative;regular_active_face,,transition-unverified
zero-signal,first-stage-float32,1,False,local_correction;derivative,,transition-unverified
zero-signal,narrower-float32,1,False,local_correction;derivative,,transition-unverified
zero-signal,wider-float32,1,False,local_correction;derivative,,transition-unverified
zero-signal,mixed-float32,1,False,local_correction;derivative,,transition-unverified
