effect,serial_id,parameter,delta,qr_svd_resolution,resolved
oracle_error,83,A,4.618527782440651e-14,,
oracle_error,83,C,-1.1102230246251565e-16,,
oracle_error,84,A,-3.8191672047105385e-14,,
oracle_error,84,C,1.1379786002407855e-15,,
oracle_error,85,A,3.552713678800501e-15,,
oracle_error,85,C,1.033895191682177e-15,,
oracle_error,86,A,1.7763568394002505e-14,,
oracle_error,86,C,8.326672684688674e-17,,
oracle_error,87,A,1.7763568394002505e-14,,
oracle_error,87,C,-3.3584246494910985e-15,,
oracle_error,88,A,3.2862601528904634e-14,,
oracle_error,88,C,5.551115123125783e-16,,
oracle_error,89,A,1.2434497875801753e-14,,
oracle_error,89,C,3.497202527569243e-15,,
oracle_error,90,A,1.2434497875801753e-14,,
oracle_error,90,C,-5.495603971894525e-15,,
oracle_error,91,A,7.105427357601002e-15,,
oracle_error,91,C,1.6653345369377348e-15,,
oracle_error,92,A,3.4638958368304884e-14,,
oracle_error,92,C,2.55351295663786e-15,,
oracle_error,93,A,-1.9539925233402755e-14,,
oracle_error,93,C,-2.4147350785597155e-15,,
oracle_error,94,A,-1.4210854715202004e-14,,
oracle_error,94,C,9.992007221626409e-16,,
oracle_error,95,A,-1.4210854715202004e-14,,
oracle_error,95,C,1.7763568394002505e-15,,
oracle_error,96,A,-8.881784197001252e-15,,
oracle_error,96,C,2.3314683517128287e-15,,
oracle_error,97,A,6.217248937900877e-15,,
oracle_error,97,C,-9.159339953157541e-16,,
oracle_error,98,A,-1.687538997430238e-14,,
oracle_error,98,C,4.163336342344337e-17,,
oracle_error,99,A,-2.3092638912203256e-14,,
oracle_error,99,C,-1.0408340855860843e-17,,
oracle_error,100,A,1.4210854715202004e-14,,
oracle_error,100,C,1.1102230246251565e-16,,
oracle_error,101,A,1.5987211554602254e-14,,
oracle_error,101,C,8.326672684688674e-16,,
oracle_error,102,A,1.509903313490213e-14,,
oracle_error,102,C,-3.0531133177191805e-16,,
oracle_error,103,A,-8.881784197001252e-15,,
oracle_error,103,C,-9.992007221626409e-16,,
oracle_error,104,A,-2.6645352591003757e-15,,
oracle_error,104,C,-6.661338147750939e-16,,
oracle_error,105,A,3.552713678800501e-15,,
oracle_error,105,C,8.881784197001252e-16,,
oracle_error,106,A,-4.3520742565306136e-14,,
oracle_error,106,C,-6.661338147750939e-16,,
oracle_error,107,A,-6.217248937900877e-15,,
oracle_error,107,C,2.3314683517128287e-15,,
oracle_error,108,A,3.197442310920451e-14,,
oracle_error,108,C,1.7763568394002505e-15,,
oracle_error,109,A,2.6645352591003757e-14,,
oracle_error,109,C,-6.106226635438361e-15,,
oracle_error,110,A,-1.9539925233402755e-14,,
oracle_error,110,C,-2.1649348980190553e-15,,
oracle_error,111,A,-4.085620730620576e-14,,
oracle_error,111,C,5.995204332975845e-15,,
oracle_error,112,A,-1.687538997430238e-14,,
oracle_error,112,C,-1.887379141862766e-15,,
oracle_error,113,A,-7.105427357601002e-14,,
oracle_error,113,C,2.9976021664879227e-15,,
oracle_error,114,A,-7.993605777301127e-15,,
oracle_error,114,C,-2.220446049250313e-16,,
oracle_error,115,A,3.552713678800501e-15,,
oracle_error,115,C,1.8041124150158794e-15,,
oracle_error,116,A,7.105427357601002e-15,,
oracle_error,116,C,-1.2212453270876722e-15,,
oracle_error,117,A,-3.019806626980426e-14,,
oracle_error,117,C,-8.881784197001252e-16,,
oracle_error,118,A,7.105427357601002e-15,,
oracle_error,118,C,-3.219646771412954e-15,,
oracle_error,119,A,3.375077994860476e-14,,
oracle_error,119,C,-9.71445146547012e-16,,
oracle_error,120,A,-7.993605777301127e-15,,
oracle_error,120,C,8.326672684688674e-15,,
oracle_error,121,A,3.907985046680551e-14,,
oracle_error,121,C,-4.107825191113079e-15,,
oracle_error,122,A,-3.019806626980426e-14,,
oracle_error,122,C,-4.440892098500626e-16,,
oracle_error,123,A,9.769962616701378e-15,,
oracle_error,123,C,-6.661338147750939e-16,,
oracle_error,124,A,5.5067062021407764e-14,,
oracle_error,124,C,-4.746203430272544e-15,,
oracle_error,125,A,1.0658141036401503e-14,,
oracle_error,125,C,5.662137425588298e-15,,
oracle_error,126,A,3.019806626980426e-14,,
oracle_error,126,C,-1.1102230246251565e-16,,
oracle_error,127,A,4.440892098500626e-15,,
oracle_error,127,C,3.677613769070831e-15,,
oracle_error,128,A,-6.394884621840902e-14,,
oracle_error,128,C,-1.4432899320127035e-15,,
oracle_error,129,A,-2.1316282072803006e-14,,
oracle_error,129,C,-1.6653345369377348e-15,,
oracle_error,130,A,-1.7763568394002505e-15,,
oracle_error,130,C,4.440892098500626e-16,,
oracle_error,131,A,3.4638958368304884e-14,,
oracle_error,131,C,-6.661338147750939e-16,,
oracle_error,132,A,3.907985046680551e-14,,
oracle_error,132,C,-1.887379141862766e-15,,
oracle_error,133,A,-4.440892098500626e-15,,
oracle_error,133,C,4.996003610813204e-16,,
oracle_error,134,A,3.019806626980426e-14,,
oracle_error,134,C,2.220446049250313e-15,,
oracle_error,135,A,2.930988785010413e-14,,
oracle_error,135,C,7.216449660063518e-16,,
oracle_error,136,A,5.5067062021407764e-14,,
oracle_error,136,C,-3.6637359812630166e-15,,
oracle_error,137,A,3.730349362740526e-14,,
oracle_error,137,C,1.9984014443252818e-15,,
oracle_error,138,A,7.993605777301127e-15,,
oracle_error,138,C,-9.063930161978817e-16,,
oracle_error,139,A,2.398081733190338e-14,,
oracle_error,139,C,-5.551115123125783e-17,,
oracle_error,140,A,1.0658141036401503e-14,,
oracle_error,140,C,-5.551115123125783e-16,,
oracle_error,141,A,8.526512829121202e-14,,
oracle_error,141,C,-6.661338147750939e-15,,
oracle_error,142,A,-7.105427357601002e-15,,
oracle_error,142,C,4.052314039881821e-15,,
oracle_error,143,A,-4.440892098500626e-15,,
oracle_error,143,C,4.3298697960381105e-15,,
oracle_error,144,A,8.526512829121202e-14,,
oracle_error,144,C,-7.549516567451064e-15,,
oracle_error,145,A,1.9539925233402755e-14,,
oracle_error,145,C,-9.71445146547012e-16,,
oracle_error,146,A,9.769962616701378e-15,,
oracle_error,146,C,-4.996003610813204e-16,,
oracle_error,147,A,4.529709940470639e-14,,
oracle_error,147,C,-2.220446049250313e-16,,
oracle_error,148,A,-1.7763568394002505e-15,,
oracle_error,148,C,2.220446049250313e-16,,
oracle_error,149,A,1.9539925233402755e-14,,
oracle_error,149,C,6.661338147750939e-16,,
oracle_error,150,A,2.4868995751603507e-14,,
oracle_error,150,C,-7.466249840604178e-15,,
oracle_error,151,A,-1.509903313490213e-14,,
oracle_error,151,C,7.327471962526033e-15,,
oracle_error,152,A,1.0835776720341528e-13,,
oracle_error,152,C,-6.217248937900877e-15,,
oracle_error,153,A,9.85878045867139e-14,,
oracle_error,153,C,-1.7208456881689926e-15,,
oracle_error,154,A,-1.7763568394002505e-15,,
oracle_error,154,C,-4.649058915617843e-16,,
oracle_error,155,A,1.7763568394002505e-15,,
oracle_error,155,C,-4.440892098500626e-16,,
oracle_error,156,A,8.881784197001252e-16,,
oracle_error,156,C,7.216449660063518e-16,,
oracle_error,157,A,8.881784197001252e-15,,
oracle_error,157,C,-2.220446049250313e-15,,
oracle_error,158,A,4.440892098500626e-14,,
oracle_error,158,C,2.5673907444456745e-15,,
oracle_error,159,A,8.171241461241152e-14,,
oracle_error,159,C,5.440092820663267e-15,,
oracle_error,160,A,9.237055564881302e-14,,
oracle_error,160,C,-1.099120794378905e-14,,
oracle_error,161,A,4.707345624410664e-14,,
oracle_error,161,C,-2.3869795029440866e-15,,
oracle_error,162,A,1.1191048088221578e-13,,
oracle_error,162,C,2.3869795029440866e-15,,
oracle_error,163,A,1.5987211554602254e-14,,
oracle_error,163,C,3.885780586188048e-15,,
oracle_error,164,A,1.3145040611561853e-13,,
oracle_error,164,C,-9.769962616701378e-15,,
oracle_error,165,A,7.72715225139109e-14,,
oracle_error,165,C,-2.4702462297909733e-15,,
oracle_error,166,A,7.904787935331115e-14,,
oracle_error,166,C,-2.4702462297909733e-15,,
oracle_error,167,A,9.681144774731365e-14,,
oracle_error,167,C,-2.4702462297909733e-15,,
oracle_error,168,A,1.3677947663381929e-13,,
oracle_error,168,C,-2.1144110901274115e-15,,
quantization_true_b,1,A,8.310818699897027e-10,1.199040866595169e-13,True
quantization_true_b,1,C,4.070188630578286e-12,7.771561172376096e-16,True
quantization_true_b,2,A,-3.178048046947879e-09,1.6697754290362354e-13,True
quantization_true_b,2,C,-1.0337824207784507e-09,1.3988810110276972e-14,True
quantization_true_b,3,A,2.7599769580888278e-08,1.5987211554602254e-13,True
