dataset,case,serial_id,A,B,C,A_error,B_error,C_error,truth_comparison_identifiable
near-0.02,first-stage-float32,10,5.999999983697568,0.5000000011012895,-0.20000000163495785,-1.6302432293002767e-08,1.1012895040352078e-09,-1.6349578357832684e-09,True
near-0.02,first-stage-float32,11,7.000000077340555,0.4500000024396458,0.19999999853072986,7.734055529340367e-08,2.4396457631858937e-09,-1.4692701499896543e-09,True
near-0.02,first-stage-float32,12,7.999999996983156,0.39999999922267193,-0.1999999984176467,-3.016843663772306e-09,-7.77328090784124e-10,1.5823533039416304e-09,True
near-0.02,narrower-float32,1,3.8476441627172905e+18,5852.083783910467,-8940543480.080015,3.8476441627172905e+18,5851.583783910467,-8940543480.280016,True
near-0.02,narrower-float32,2,6.864805664077317,0.44720479305653343,-0.19894590037606685,-0.13519433592268282,-0.002795206943466577,0.001054099623933158,True
near-0.02,narrower-float32,3,8.052622380525174,0.4009344376904861,0.197295688955556,0.05262238052517354,0.0009344376904860674,-0.002704311044444019,True
near-0.02,narrower-float32,4,12.372577677764252,0.5010643218053585,-0.15693896513811004,6.3725776777642515,0.0010643218053585368,0.043061034861889974,True
near-0.02,narrower-float32,5,6.987161800151399,0.44954291057348145,0.20082137105337028,-0.012838199848601128,-0.0004570894265185643,0.0008213710533702678,True
near-0.02,narrower-float32,6,8.006662214281235,0.40013651811999423,-0.20035346287093542,0.006662214281234924,0.00013651811999421115,-0.00035346287093540596,True
near-0.02,narrower-float32,7,5.994987790095508,0.49992873997679627,0.20126803149126501,-0.0050122099044918045,-7.126002320373415e-05,0.0012680314912650037,True
near-0.02,narrower-float32,8,6.990214789618691,0.44958199522688835,-0.20002165465108573,-0.009785210381308751,-0.0004180047731116576,-2.1654651085722953e-05,True
near-0.02,narrower-float32,9,8.006463526596573,0.4001393102218474,0.1998119830924355,0.006463526596572677,0.0001393102218473774,-0.00018801690756450884,True
near-0.02,narrower-float32,10,5.977250257894768,0.49969862318182034,-0.19880404193178866,-0.02274974210523162,-0.000301376818179655,0.0011959580682113502,True
near-0.02,narrower-float32,11,6.9908281596459165,0.4496319432068408,0.19854763131646544,-0.009171840354083471,-0.00036805679315921047,-0.0014523686835345717,True
near-0.02,narrower-float32,12,7.99721351724431,0.3999151071629041,-0.19871524500257523,-0.002786482755690045,-8.489283709589568e-05,0.0012847549974247807,True
near-0.02,wider-float32,1,6.000002052921487,0.5000000921217692,0.19999999287250603,2.052921487027959e-06,9.212176921291615e-08,-7.127493983904998e-09,True
near-0.02,wider-float32,2,6.999999925768015,0.4499999957608376,-0.19999999923071227,-7.423198500333683e-08,-4.239162409991337e-09,7.692877446174862e-10,True
near-0.02,wider-float32,3,8.000000060817252,0.40000000169721617,0.20000000150175637,6.08172516791683e-08,1.6972161454020807e-09,1.5017563581576354e-09,True
near-0.02,wider-float32,4,5.999998209103987,0.49999990322021926,-0.1999999928762592,-1.7908960128210083e-06,-9.677978074495996e-08,7.123740819459101e-09,True
near-0.02,wider-float32,5,7.000000031783534,0.4499999999922878,0.20000000137506765,3.178353402688572e-08,-7.712219751709881e-12,1.375067643083483e-09,True
near-0.02,wider-float32,6,7.999999968320134,0.39999999877297127,-0.200000001323625,-3.167986584173832e-08,-1.2270287563787008e-09,-1.3236249873926909e-09,True
near-0.02,wider-float32,7,6.000000053709484,0.5000000029565275,0.19999999968861604,5.370948397143138e-08,2.9565274672904707e-09,-3.113839741608615e-10,True
near-0.02,wider-float32,8,7.000000073783886,0.45000000061474954,-0.20000000054113093,7.378388566792182e-08,6.147495290598215e-10,-5.411309178526835e-10,True
near-0.02,wider-float32,9,8.00000003257523,0.39999999963617494,0.1999999972860585,3.257522962485382e-08,-3.638250811732746e-10,-2.7139415159638247e-09,True
