state_id,serial_id,historical_C_status,frozen_C_status,joint_C_status
baseline-recovery-32,19,regressed,regressed,unqualified
baseline-recovery-32,20,improved,improved,unqualified
baseline-recovery-32,21,improved,improved,unqualified
baseline-recovery-32,22,improved,improved,unqualified
baseline-recovery-32,23,regressed,regressed,unqualified
baseline-recovery-32,24,improved,improved,unqualified
baseline-recovery-32,25,regressed,improved,unqualified
baseline-recovery-32,26,regressed,improved,unqualified
baseline-recovery-32,27,regressed,improved,unqualified
baseline-recovery-32,28,improved,regressed,unqualified
baseline-recovery-32,29,improved,regressed,unqualified
baseline-recovery-32,30,improved,regressed,unqualified
baseline-recovery-32,31,regressed,regressed,unqualified
baseline-recovery-32,32,regressed,improved,unqualified
baseline-recovery-32,33,regressed,improved,unqualified
baseline-recovery-32,34,improved,improved,unqualified
baseline-recovery-32,35,regressed,improved,unqualified
baseline-recovery-32,36,improved,improved,unqualified
baseline-recovery-32,37,regressed,regressed,unqualified
baseline-recovery-32,38,improved,regressed,unqualified
baseline-recovery-32,39,improved,improved,unqualified
baseline-recovery-32,40,regressed,improved,unqualified
baseline-recovery-32,41,regressed,regressed,unqualified
baseline-recovery-32,42,improved,improved,unqualified
baseline-recovery-32,43,regressed,regressed,unqualified
baseline-recovery-32,44,regressed,improved,unqualified
baseline-recovery-32,45,improved,regressed,unqualified
baseline-recovery-32,46,regressed,regressed,unqualified
baseline-recovery-32,47,improved,improved,unqualified
baseline-recovery-32,48,improved,improved,unqualified
baseline-recovery-32,49,improved,regressed,unqualified
baseline-recovery-32,50,regressed,improved,unqualified
baseline-recovery-32,51,regressed,regressed,unqualified
baseline-recovery-32,52,improved,regressed,unqualified
baseline-recovery-32,53,regressed,regressed,unqualified
baseline-recovery-32,54,improved,regressed,unqualified
baseline-recovery-32,55,regressed,improved,unqualified
baseline-recovery-32,56,improved,improved,unqualified
baseline-recovery-32,57,improved,regressed,unqualified
baseline-recovery-32,58,improved,improved,unqualified
baseline-recovery-32,59,improved,regressed,unqualified
baseline-recovery-32,60,regressed,improved,unqualified
baseline-recovery-32,61,regressed,improved,unqualified
baseline-recovery-32,62,regressed,improved,unqualified
baseline-recovery-32,63,regressed,improved,unqualified
baseline-recovery-32,64,improved,improved,unqualified
baseline-recovery-32,65,regressed,regressed,unqualified
baseline-recovery-32,66,improved,regressed,unqualified
baseline-recovery-32,67,improved,improved,unqualified
baseline-recovery-32,68,regressed,regressed,unqualified
baseline-recovery-32,69,regressed,improved,unqualified
baseline-recovery-32,70,improved,improved,unqualified
baseline-recovery-32,71,improved,regressed,unqualified
