state_id,component,mode,atom_index,seed,qualified,selected,minimum,maximum,mean,underflow_count,below_0_1,effective_n,owner,alpha,variance,scale_equation,denominator,denominator_margin,linear_weight_share
baseline-best-28,0,joint,,checkpoint,False,True,2.3921313769956103e-05,0.9999993249083329,0.8969996682948721,0,12,186.55351184900056,30,0.1,1.195517106263488e-06,-8.026186635497012e-09,162.06425021814545,0.8103212510907273,1.3911799537319226e-08
baseline-best-28,0,joint,,checkpoint,False,True,2.836021659185316e-11,0.9999946321540149,0.5559256817934207,0,70,121.82586676067976,31,0.5,1.747700448264798e-05,2.43385939180385e-09,56.75203096350243,0.28376015481751216,4.355321343660464e-09
baseline-best-28,0,joint,,checkpoint,False,True,0.7750631455912613,0.9999999961465572,0.9528504452356537,0,0,198.91019784155742,32,0.1,0.00011609863222004556,2.6269760626719108e-11,173.23440560630186,0.8661720280315093,1.210544881753952e-10
baseline-best-28,0,joint,,checkpoint,False,True,1.0,1.0,1.0,0,0,200.0,33,0.0,5.35571002311483e-06,-2.463244608286175e-12,200.0,1.0,1.7447124756535269e-09
baseline-best-28,0,joint,,checkpoint,False,True,1.4881260423384753e-127,0.9999828045551669,0.8343514612684246,0,16,179.14383041855976,34,0.2,4.5356916519700996e-08,2.026120485395808e-09,136.44126128117557,0.6822063064058779,9.309906872147287e-07
baseline-best-28,0,joint,,checkpoint,False,True,0.06037716565026646,0.9998761372854569,0.7275026774911544,0,3,181.10341643660502,35,1.0,1.0676132065642342e-08,-2.2763202434106233e-10,74.789857379576,0.37394928689788004,0.004916937326615132
baseline-best-28,0,joint,,checkpoint,False,True,0.0009820482231081306,0.9999965943576592,0.6843079827969585,0,18,166.34057935513644,36,1.0,6.803808801710929e-09,-8.42975689252512e-11,66.150918440737,0.330754592203685,0.00909084887081896
baseline-best-28,0,joint,,checkpoint,False,True,0.4718500396425364,0.9999470171413758,0.8545750507178156,0,0,195.0395382335096,37,0.4,2.661565822676632e-08,1.8731668520324496e-11,122.62048130193364,0.6131024065096682,9.519596472965058e-06
baseline-best-28,0,joint,,checkpoint,False,True,0.1916657708609193,0.9999885092492284,0.736384105372214,0,0,179.49988495026005,38,0.8999999999999999,4.6197668649325665e-08,-3.150580967933128e-11,78.54749211665232,0.3927374605832616,0.00024746791593420535
baseline-best-28,0,joint,,checkpoint,False,True,0.7092524638864003,0.9999999208068627,0.9158220458005093,0,0,198.25299393540925,39,0.2,5.192973513010324e-08,1.7802667792452256e-11,152.73537818759257,0.7636768909379629,8.805571665435907e-07
baseline-best-28,0,joint,,checkpoint,False,True,1.0,1.0,1.0,0,0,200.0,40,0.0,3.216751475299308e-06,9.764633546183177e-14,200.0,1.0,2.9048480011784674e-09
baseline-best-28,0,joint,,checkpoint,False,True,1.0,1.0,1.0,0,0,200.0,41,0.0,1.1871267139786433e-06,4.5083936583978355e-14,200.0,1.0,7.871252481543553e-09
baseline-best-28,0,joint,,checkpoint,False,True,0.12095415833941464,0.9999949968297269,0.822569230833928,0,0,184.03319847878396,42,0.4,2.879367186489756e-06,-1.6077887679696066e-10,116.219317325156,0.58109658662578,3.319318925773949e-08
baseline-best-28,0,joint,,checkpoint,False,True,0.05321028729309325,0.9999992760635487,0.8950333630704285,0,2,192.14086914484244,43,0.2,6.030646312855462e-07,-2.2377431284941435e-10,148.57764164157643,0.7428882082078822,5.7988671633691475e-08
baseline-best-28,0,joint,,checkpoint,False,True,0.014769552735070234,0.9999758233795216,0.7072796108635572,0,14,170.2788904027648,44,0.8999999999999999,3.502074578838641e-07,1.256860054406412e-10,72.72659321492087,0.3636329660746043,1.2601809321055675e-05
baseline-best-28,0,joint,,checkpoint,False,True,1.0,1.0,1.0,0,0,200.0,45,0.0,2.8039096555890245e-07,-1.7541523789077474e-15,200.0,1.0,3.332551772731109e-08
baseline-best-28,0,joint,,checkpoint,False,True,0.2191581566353001,0.9999951839539875,0.8449039737081481,0,0,191.43501715943182,46,0.4,1.8922795569457125e-07,1.0532190350257788e-10,120.68626590000011,0.6034313295000006,8.942480028670216e-07
baseline-best-28,0,joint,,checkpoint,False,True,1.4170467551280832e-11,0.9996967710865056,0.7248642565900119,0,16,166.6076324822891,47,0.6,3.839007064201933e-08,-4.5423664698638e-11,85.68014518984529,0.42840072594922646,2.728846103337574e-05
baseline-best-28,0,joint,,checkpoint,False,True,0.48207973774108426,0.9999843858779435,0.9058491475780331,0,0,194.56144394803232,48,0.2,1.6997025463967665e-05,-6.526860429094922e-11,150.7407985430974,0.753703992715487,1.4912478925237985e-09
baseline-best-28,0,joint,,checkpoint,False,True,0.47371362597119054,0.9999999143702948,0.9045842892214598,0,0,194.14342553612414,49,0.2,1.8233984015308367e-05,-2.2169330141366414e-11,150.48782687178303,0.7524391343589152,1.3784261213101822e-09
