state_id,serial_id,parameter,comparison,left_error,right_error,absolute_error_gain,numerical_uncertainty,status
baseline-best-28,6,C,frozen-to-joint,-0.0005087237554106672,1.2260165604210949e-05,0.0004964635898064562,1.3877787807814457e-16,unqualified
baseline-best-28,7,A,input-to-frozen,0.00492053740904197,0.004257953778310508,0.0006625836307314614,0.0,improved
baseline-best-28,7,C,input-to-frozen,-8.80220852972069e-05,-3.336974040074603e-05,5.465234489646087e-05,7.494005416219807e-16,improved
baseline-best-28,7,A,input-to-joint,0.00492053740904197,0.006864878168578059,-0.0019443407595360895,0.0,unqualified
baseline-best-28,7,C,input-to-joint,-8.80220852972069e-05,-0.0007624849332021066,-0.0006744628479048997,0.0,unqualified
baseline-best-28,7,A,frozen-to-joint,0.004257953778310508,0.006864878168578059,-0.002606924390267551,0.0,unqualified
baseline-best-28,7,C,frozen-to-joint,-3.336974040074603e-05,-0.0007624849332021066,-0.0007291151928013606,7.494005416219807e-16,unqualified
baseline-best-28,8,A,input-to-frozen,0.0032431798121503874,0.004091527351167912,-0.0008483475390175244,2.6645352591003757e-15,regressed
baseline-best-28,8,C,input-to-frozen,-0.00018134995555726952,-0.0002434204593257383,-6.207050376846879e-05,2.3592239273284576e-16,regressed
baseline-best-28,8,A,input-to-joint,0.0032431798121503874,0.004521681826761714,-0.0012785020146113268,0.0,unqualified
baseline-best-28,8,C,input-to-joint,-0.00018134995555726952,-0.00012174320388304294,5.960675167422658e-05,0.0,unqualified
baseline-best-28,8,A,frozen-to-joint,0.004091527351167912,0.004521681826761714,-0.0004301544755938025,2.6645352591003757e-15,unqualified
baseline-best-28,8,C,frozen-to-joint,-0.0002434204593257383,-0.00012174320388304294,0.00012167725544269536,2.3592239273284576e-16,unqualified
baseline-best-28,9,A,input-to-frozen,0.01639794121763849,-0.010185235583845653,0.006212705633792837,4.958611299343829e-11,improved
baseline-best-28,9,C,input-to-frozen,-0.0027472431261869046,-0.0005279103231325966,0.002219332803054308,7.109202115884727e-12,improved
baseline-best-28,9,A,input-to-joint,0.01639794121763849,-0.0225240976107548,-0.006126156393116311,0.0,unqualified
