state_id,component,mode,atom_index,qualified,reason,failure_owner,branch_sensitive,stationarity,objective,active_amplitudes,rank,condition,minimum_singular,weighted_rank,weighted_condition,weighted_minimum_singular,weight_minimum,weight_mean,weight_underflow_count,effective_n,linear_solves,iterations,seconds
baseline-best-28,0,frozen,77,True,qualified,-1,False,8.380990221741734e-09,-79.66183544785801,0,2,2.4929546357053107,0.5265045914218547,2,1.4436773894675796,0.8052735255047451,1.6445119655196838e-13,0.8422930161569366,0,31092.723013958934,181,178,0.402167208
baseline-best-28,0,frozen,78,True,qualified,-1,False,8.380990221741734e-09,-80.06542259264222,0,2,2.546245560680379,0.516971368790248,2,3.8202666077484904,0.3581212967245469,1.6445119655196838e-13,0.8424340487975331,0,31101.695799495188,181,178,0.395784
baseline-best-28,0,frozen,79,True,qualified,-1,False,8.380990221741734e-09,-79.85747268069333,0,2,2.2365763801116745,0.5772408970156303,2,1.887971113511737,0.6619443626923328,1.6445119655196838e-13,0.8427064374839806,0,31116.797369367872,181,178,0.403178292
baseline-best-28,0,frozen,80,True,qualified,-1,False,8.380990221741734e-09,-79.66991421404025,0,2,2.211820231867427,0.5826102850535011,2,1.9900740654003979,0.6349753654186425,1.6445119655196838e-13,0.8423938656365445,0,31098.190587537916,181,178,0.397453792
baseline-best-28,0,frozen,81,True,qualified,-1,False,8.380990221741734e-09,-79.94241590079027,0,2,2.25278496318416,0.5737734173197488,2,3.6633854360450826,0.37241438843809327,1.6445119655196838e-13,0.8419451202704699,0,31072.999685585928,181,178,0.385852125
baseline-best-28,0,frozen,82,True,qualified,-1,False,8.380990221741734e-09,-79.65536927509578,0,2,2.436720738292027,0.536920666599414,2,2.3001899749794434,0.5638447060234254,1.6445119655196838e-13,0.8422412025775999,0,31089.602429001334,181,178,0.420252042
baseline-best-28,0,frozen,83,True,qualified,-1,False,8.380990221741734e-09,-80.73938095934113,0,2,2.306538997050315,0.5625385144751629,2,3.5506023581020787,0.3833869822779154,1.6445119655196838e-13,0.842044454014359,0,31086.405449581613,181,178,0.396962834
baseline-best-28,0,frozen,84,True,qualified,-1,False,8.380990221741734e-09,-79.67820711036993,0,2,2.2520574734806136,0.5739282431766274,2,2.140686312153761,0.5985482401663529,1.6445119655196838e-13,0.8425247972472947,0,31105.965565866634,181,178,0.392821625
baseline-best-28,0,frozen,85,True,qualified,-1,False,8.380990221741734e-09,-79.74310612231635,0,2,2.3805843971571283,0.5477013862986753,2,2.2575803522689677,0.5727547342847383,1.6445119655196838e-13,0.8425711336510798,0,31107.974734105985,181,178,0.395910792
baseline-best-28,0,frozen,86,True,qualified,-1,False,8.380990221741734e-09,-79.73888197451018,0,2,2.416570248627625,0.5407455110127917,2,2.4870892150720607,0.5275736462984041,1.6445119655196838e-13,0.842536651017792,0,31106.788302632955,181,178,0.401171584
baseline-best-28,0,frozen,87,True,qualified,-1,False,8.380990221741734e-09,-79.73293782903991,0,2,2.389411284565285,0.5459801279573862,2,1.7983563507538007,0.6872823369278229,1.6445119655196838e-13,0.8424574938800438,0,31101.580936876457,212,209,0.483650833
baseline-best-28,0,frozen,88,True,qualified,-1,False,8.380990221741734e-09,-79.76319686353798,0,2,2.3320846626438816,0.5573379792985257,2,2.185416129383606,0.5884367175677172,1.6445119655196838e-13,0.8423801064133241,0,31097.368618393226,181,178,0.395524833
baseline-best-28,0,frozen,89,True,qualified,-1,False,8.380990221741734e-09,-79.81996090087031,0,2,2.4003477068677506,0.543861154894451,2,3.9048888362899237,0.3508431056922586,1.6445119655196838e-13,0.8422934137784953,0,31092.99714031336,181,178,0.426133334
baseline-best-28,0,frozen,90,True,qualified,-1,False,8.380990221741734e-09,-79.72608606922522,0,2,2.676481740645387,0.49496597927119285,2,2.2955882236751615,0.5647948675308134,1.6445119655196838e-13,0.842311461662184,0,31093.668477456507,181,178,0.40813775
baseline-best-28,0,frozen,91,True,qualified,-1,False,8.380990221741734e-09,-79.90346881868878,0,2,2.211443738364211,0.5826926356722273,2,2.1457817675234145,0.5973807640999765,1.6445119655196838e-13,0.8422929678045717,0,31092.154674346366,181,178,0.395627792
baseline-best-28,0,frozen,92,True,qualified,-1,False,7.831471513426856e-09,-79.73887314060042,0,2,2.1543028280091074,0.5954374582449247,2,1.645850485534094,0.7343395110680735,1.6445119655196838e-13,0.8418932907460606,0,31074.1887312266,179,176,0.400390291
baseline-best-28,0,frozen,93,True,qualified,-1,False,8.381247377149812e-09,-79.66943447150179,0,2,2.288208671486625,0.5663246486433198,2,2.1667254344798352,0.5926245066157069,1.6445119655196838e-13,0.8422843746690724,0,31092.13068291708,181,178,0.400794542
baseline-best-28,0,frozen,94,True,qualified,-1,False,8.380990221741734e-09,-80.42379592677933,0,2,2.412456996418191,0.541532395414535,2,3.941918486100422,0.34774751303571416,1.6445119655196838e-13,0.8421049405729123,0,31080.914579890774,181,178,0.392128291
baseline-best-28,0,frozen,95,True,qualified,-1,False,8.113177574078499e-09,-79.81699756264982,0,2,2.3321166899042103,0.5573315140466609,2,2.8551795446358335,0.46747221211076795,1.6445119655196838e-13,0.842947111692728,0,31118.717100488495,163,160,0.362154791
baseline-best-28,0,frozen,96,True,qualified,-1,False,9.104854551329887e-09,-79.67540774041242,0,2,2.2599323357476186,0.5722562947125631,2,2.0490205031491873,0.6202640339668163,1.6445119655196838e-13,0.8427639632236499,0,31110.83339725462,192,189,0.422967792
baseline-best-28,0,frozen,97,True,qualified,-1,False,8.263792109415711e-09,-79.65355087276967,0,2,2.334259981387587,0.5568991632579151,2,2.1531785905083565,0.5956932047315866,1.6445119655196838e-13,0.8422837623585873,0,31091.80197069079,187,184,0.42582075
baseline-best-28,0,frozen,98,True,qualified,-1,False,8.113177574078499e-09,-79.78737738855719,0,2,2.1743884199395676,0.5909011293239964,2,1.898173177782397,0.6591611659147352,1.6445119655196838e-13,0.8433756867713563,0,31141.285835376086,166,163,0.374469125
baseline-best-28,0,frozen,99,True,qualified,-1,False,8.113177574078499e-09,-79.65930055163571,0,2,2.353915371619615,0.5529624740288565,2,2.28674565706086,0.5666288222680627,1.6445119655196838e-13,0.8422738586074184,0,31091.86356351854,163,160,0.340295583
baseline-best-28,0,frozen,100,True,qualified,-1,False,8.262712916177896e-09,-79.69256944216245,0,2,2.188707861224748,0.5877046623961627,2,1.7513132510309077,0.701249676179224,1.4592996854674747e-13,0.8420740164547041,0,31080.543782881017,211,208,0.486510333
baseline-best-28,0,frozen,101,True,qualified,-1,False,8.113177574078499e-09,-80.69315333338176,0,2,2.354821728455948,0.5527821647053892,2,3.064556553629029,0.43870818111801285,1.6445119655196838e-13,0.8427727599079101,0,31118.98889805896,163,160,0.371182083
