dataset,case,serial_id,A,B,C,A_error,B_error,C_error,truth_comparison_identifiable
baseline,wider-float32,9,8.000000068442247,0.40000000109714595,0.1999999986914837,6.844224742508231e-08,1.0971459296627017e-09,-1.30851632307305e-09,True
baseline,wider-float32,10,5.99999997381858,0.4999999994937953,-0.19999999916728928,-2.6181419698900754e-08,-5.062046892767569e-10,8.327107337002815e-10,True
baseline,wider-float32,11,7.0000000684734385,0.45000000200345736,0.19999999800494028,6.847343847482534e-08,2.0034573444682735e-09,-1.9950597285323113e-09,True
baseline,wider-float32,12,8.000000008753789,0.3999999992079045,-0.1999999993593219,8.753788804938267e-09,-7.920955003015706e-10,6.406781216661273e-10,True
baseline,mixed-float32,1,5.999999971928582,0.5000000000975408,0.2000000013122288,-2.8071418078923216e-08,9.754075325218992e-11,1.3122287978450942e-09,True
baseline,mixed-float32,2,6.999999963782184,0.4500000004321524,-0.200000001482752,-3.6217816301586936e-08,4.321523694450491e-10,-1.4827519767557362e-09,True
baseline,mixed-float32,3,8.000000068442253,0.40000000109714606,0.19999999869148347,6.844225275415283e-08,1.0971460406850042e-09,-1.308516545117655e-09,True
baseline,mixed-float32,4,5.999999973818582,0.4999999994937954,-0.19999999916728933,-2.6181417922543915e-08,-5.062045782544544e-10,8.327106781891302e-10,True
baseline,mixed-float32,5,7.000000068473442,0.45000000200345747,0.19999999800494045,6.847344202753902e-08,2.003457455490576e-09,-1.9950595619988576e-09,True
baseline,mixed-float32,6,8.000000008753782,0.3999999992079045,-0.1999999993593217,8.75378169951091e-09,-7.920955003015706e-10,6.406783159551566e-10,True
baseline,mixed-float32,7,5.999999971928582,0.5000000000975406,0.2000000013122288,-2.8071418078923216e-08,9.754064222988745e-11,1.3122287978450942e-09,True
baseline,mixed-float32,8,6.999999963782187,0.4500000004321524,-0.20000000148275351,-3.621781274887326e-08,4.321523694450491e-10,-1.482753503312395e-09,True
baseline,mixed-float32,9,8.00000006844225,0.40000000109714606,0.19999999869148355,6.844224920143915e-08,1.0971460406850042e-09,-1.3085164618509282e-09,True
baseline,mixed-float32,10,5.99999997381858,0.4999999994937953,-0.19999999916728944,-2.6181419698900754e-08,-5.062046892767569e-10,8.327105671668278e-10,True
baseline,mixed-float32,11,7.00000006847344,0.45000000200345747,0.1999999980049407,6.847344025118218e-08,2.003457455490576e-09,-1.995059312198677e-09,True
baseline,mixed-float32,12,8.000000008753789,0.3999999992079045,-0.19999999935932194,8.753788804938267e-09,-7.920955003015706e-10,6.40678066154976e-10,True
