parameters,prediction,serial_id,n,A,B,C,truth_A,truth_B,truth_C,error_A,error_B,error_C,reference_A,reference_B,reference_C,qualified,stationarity,condition,reference_difference,loss
AB,analytic,21,100,5.910495977253152,0.49730034438547704,0.24,6.0,0.5,0.24,-0.08950402274684777,-0.0026996556145229555,0.0,5.910495938333142,0.4973003431478045,0.24,True,1.41493495731303e-10,8.38833266197835,6.584897523908021e-09,0.004284602238856406
AB,analytic,22,100,6.0122479131126605,0.5006507030860724,0.558,6.0,0.5,0.558,0.012247913112660491,0.0006507030860724017,0.0,6.012248153637032,0.5006507102063509,0.558,True,8.559526873177659e-10,8.939311391258627,4.0005729128344454e-08,0.0024624382141517527
AB,analytic,23,100,8.006412961724605,0.5000737042539506,-0.658,8.0,0.5,-0.658,0.006412961724604926,7.370425395059055e-05,0.0,8.006413196688891,0.5000737107413759,-0.658,True,3.3246926924944953e-09,7.232282632637891,2.9347009762995613e-08,0.0008789057491086666
AB,analytic,24,100,5.974159032121121,0.49775326767823236,-0.215,6.0,0.5,-0.215,-0.025840967878878907,-0.0022467323217676416,0.0,5.974158982985078,0.49775326597790887,-0.215,True,4.248086906528252e-10,7.659629960388925,8.224763104885785e-09,0.005137421816857689
AB,analytic,25,100,6.041035037596926,0.501845766059913,-0.19,6.0,0.5,-0.19,0.041035037596926394,0.0018457660599130454,0.0,6.041034818025867,0.5018457585269754,-0.19,True,1.812453320005691e-09,7.739247129588458,3.6346595864101245e-08,0.001513275214946189
AB,analytic,26,100,5.894382760082479,0.49711647890952865,0.116,6.0,0.5,0.116,-0.10561723991752103,-0.0028835210904713526,0.0,5.894382721224124,0.4971164776396369,0.116,True,2.5712665174517194e-10,8.185931455224512,6.5924383158992744e-09,0.006356958250606275
AB,analytic,27,100,6.999387482366694,0.49947829694296864,-0.604,7.0,0.5,-0.604,-0.0006125176333062754,-0.0005217030570313641,0.0,6.999387486631521,0.4994782970782467,-0.604,True,8.706031623404611e-11,7.188949854977918,6.093144022002865e-10,0.0041119657275530885
AB,analytic,28,100,5.983958012207245,0.499430224386138,0.901,6.0,0.5,0.901,-0.016041987792754675,-0.0005697756138620114,0.0,5.983957972835768,0.499430223287948,0.901,True,2.442442954468147e-10,9.48139495526009,6.579504326960097e-09,6.045181479818853e-05
AB,analytic,29,100,7.022759592653623,0.5007284142809468,-0.908,7.0,0.5,-0.908,0.022759592653622818,0.0007284142809468319,0.0,7.022759583864234,0.5007284139843946,-0.908,True,1.5663603221010418e-10,6.779861242911198,1.2515576898789334e-09,0.002145524170664648
AB,analytic,30,100,6.95214698288783,0.4991600249516183,-0.906,7.0,0.5,-0.906,-0.04785301711217027,-0.0008399750483816804,0.0,6.952146997223151,0.4991600254389296,-0.906,True,3.7443350909208945e-10,6.763937338309962,2.061999175237431e-09,0.0032208427620824087
AB,analytic,31,100,6.971107055131611,0.49879888085113805,-0.584,7.0,0.5,-0.584,-0.02889294486838878,-0.001201119148861951,0.0,6.97110722475132,0.49879888622576296,-0.584,True,3.137185933412288e-10,7.209052978295293,2.4331817462052622e-08,0.002917073073991627
AB,analytic,32,100,6.026589411844631,0.5005160677673225,0.235,6.0,0.5,0.235,0.026589411844630817,0.0005160677673224923,0.0,6.0265890590156035,0.500516056681683,0.235,True,1.5214010457305836e-09,8.412656405264237,5.854538997373525e-08,0.0034217078322610873
AB,analytic,33,100,6.032624627132357,0.5010552804457974,0.563,6.0,0.5,0.563,0.03262462713235692,0.0010552804457973908,0.0,6.03262481173444,0.50105528589225,0.563,True,9.400072317409751e-10,8.950541449771201,3.0600623893293075e-08,0.0011264546843052924
AB,analytic,34,100,8.008057714376118,0.5002997970142203,-0.663,8.0,0.5,-0.663,0.008057714376118241,0.00029979701422033767,0.0,8.008057706638338,0.500299796800329,-0.663,True,4.894159090169452e-11,7.227821231191112,9.662493041815004e-10,0.0005494795071507058
AB,analytic,35,100,5.895722676037836,0.4942665455154518,-0.153,6.0,0.5,-0.153,-0.10427732396216438,-0.005733454484548206,0.0,5.895722802447593,0.4942665498602784,-0.153,True,1.5908558758107358e-09,7.724812861438376,2.1440926170389495e-08,0.0037174895858624268
AB,analytic,36,100,6.009735137855393,0.4997527575386964,0.022,6.0,0.5,0.022,0.009735137855392928,-0.0002472424613035873,0.0,6.009735164530782,0.49975275841484085,0.022,True,2.0788201109486934e-09,8.06058346346997,4.4386962617318414e-09,0.00050405431585708
AB,analytic,37,100,6.99416094999112,0.49985723763578593,-0.296,7.0,0.5,-0.296,-0.0058390500088796315,-0.0001427623642140663,0.0,6.994160769571722,0.4998572322350706,-0.296,True,2.0616829416969893e-09,7.616323252947308,2.5795717287921938e-08,0.00026121541052567826
AB,analytic,38,100,6.001121194600868,0.5001054766356768,-0.182,6.0,0.5,-0.182,0.001121194600868236,0.00010547663567683774,0.0,6.001121355584351,0.5001054821675954,-0.182,True,2.056346045046809e-09,7.734621559455021,2.6825566924196407e-08,0.00020612013752198627
AB,analytic,39,100,6.0030721979587645,0.5000765461270311,-0.012,6.0,0.5,-0.012,0.0030721979587644554,7.654612703111852e-05,0.0,6.0030723023172,0.500076549584819,-0.012,True,1.113286145251811e-09,8.009103879328945,1.7384171040305683e-08,4.5939111649219745e-05
AB,analytic,40,100,6.9869822360422855,0.4996959199828958,-0.225,7.0,0.5,-0.225,-0.013017763957714479,-0.0003040800171041913,0.0,6.986982165226352,0.49969591788945505,-0.225,True,2.814293327873107e-10,7.712836511066479,1.0135410563421127e-08,0.00010507125377555595
AB,analytic,41,100,6.974709928053575,0.49967358807406503,-0.568,7.0,0.5,-0.568,-0.025290071946424852,-0.00032641192593496626,0.0,6.9747099293745265,0.4996735881158496,-0.568,True,3.605232084864246e-11,7.236985196246875,1.893915821131859e-10,0.0027634982441516183
AB,analytic,42,100,5.906163754096469,0.4977623354646528,0.246,6.0,0.5,0.246,-0.0938362459035309,-0.0022376645353471836,0.0,5.906163726606995,0.4977623345902192,0.246,True,9.112557379285592e-11,8.404067976526244,4.65437040910127e-09,0.007277345718657329
AB,analytic,43,100,5.96719792029841,0.4989952490715266,0.57,6.0,0.5,0.57,-0.032802079701590436,-0.001004750928473408,0.0,5.96719796456636,0.49899525038468956,0.57,True,1.166297474010117e-10,8.940399065861033,7.418548949988935e-09,0.0015236817437133227
AB,analytic,44,100,7.963413639054208,0.499252921986491,-0.673,8.0,0.5,-0.673,-0.03658636094579215,-0.0007470780135089838,0.0,7.963413585198871,0.49925292048953485,-0.673,True,1.4702756903208943e-10,7.204743556935076,6.762845623726398e-09,0.002277938246577342
AB,analytic,45,100,5.936741481637154,0.496608521685246,-0.276,6.0,0.5,-0.276,-0.06325851836284624,-0.003391478314754004,0.0,5.936741494350825,0.4966085221329666,-0.276,True,1.2647569609338694e-10,7.550062334648043,2.1415234294702165e-09,0.004444305340360427
AB,analytic,46,100,6.000873178965746,0.5003824241201276,0.704,6.0,0.5,0.704,0.0008731789657456801,0.0003824241201275669,0.0,6.000873347243611,0.5003824289760224,0.704,True,3.512457318898295e-10,9.174188519602941,2.8042229136071946e-08,0.0001369646685633387
AB,analytic,47,100,8.041291157718032,0.5010271267066179,-0.771,8.0,0.5,-0.771,0.04129115771803171,0.0010271267066178646,0.0,8.041290923339808,0.5010271201233694,-0.771,True,8.951218848951148e-11,7.105230619775546,2.914683959316251e-08,0.0013041692743037253
AB,analytic,48,100,8.025960737945743,0.5004477845845731,-0.761,8.0,0.5,-0.761,0.025960737945743162,0.00044778458457306325,0.0,8.025960729594573,0.5004477843502372,-0.761,True,7.326205608128788e-11,7.112271037263935,1.040519720259476e-09,0.0008075836958004937
AB,analytic,49,100,7.073440802167749,0.5021244264554833,-0.575,7.0,0.5,-0.575,0.07344080216774884,0.002124426455483275,0.0,7.073440746136098,0.5021244246982205,-0.575,True,5.714721333729363e-10,7.253998784052791,7.921413636964779e-09,0.0030773760613772416
AB,analytic,50,100,6.144717005149893,0.5051498646932516,0.234,6.0,0.5,0.234,0.14471700514989294,0.005149864693251627,0.0,6.144717303260124,0.5051498739620696,0.234,True,1.2348664758309195e-09,8.462363500326076,4.851488132171042e-08,0.005658102583320428
AB,analytic,51,100,6.015685174818667,0.5009271966893403,0.568,6.0,0.5,0.568,0.015685174818666603,0.0009271966893402706,0.0,6.015685370062411,0.5009272024578226,0.568,True,8.9733307238031e-10,8.95927258469269,3.2455777308248804e-08,0.0026113346956188445
AB,analytic,52,100,8.019410875916646,0.5003989031330534,-0.681,8.0,0.5,-0.681,0.019410875916646475,0.0003989031330533521,0.0,8.019410868222806,0.5003989029199977,-0.681,True,5.827057381861473e-11,7.207836790167452,9.594021743776015e-10,0.0013604847465309901
AB,analytic,53,100,6.005730289484736,0.49700030045082905,-0.207,6.0,0.5,-0.207,0.005730289484736417,-0.0029996995491709533,0.0,6.005730253761948,0.4970002992254881,-0.207,True,7.514165123176627e-10,7.667769222744541,5.948117308157553e-09,0.006400228164381327
AB,analytic,54,100,6.108197582253237,0.5032681125111128,-0.223,6.0,0.5,-0.223,0.10819758225323728,0.0032681125111128084,0.0,6.108197458745032,0.5032681082801949,-0.223,True,2.24351454300664e-11,7.702241911842082,2.0220073725112502e-08,0.004134510916438279
