dataset,case,variant,available,passed,full_equivalence,limitation
regular-three,wider-double,monolithic,True,True,True,
regular-three,wider-double,assembled,True,True,True,
regular-three,mixed-double,monolithic,True,True,True,
regular-three,mixed-double,assembled,True,True,True,
regular-three,first-stage-float32,monolithic,True,True,True,
regular-three,first-stage-float32,assembled,True,True,True,
regular-three,narrower-float32,monolithic,True,True,True,
regular-three,narrower-float32,assembled,True,True,True,
regular-three,wider-float32,monolithic,True,True,True,
regular-three,wider-float32,assembled,True,True,True,
regular-three,mixed-float32,monolithic,True,True,True,
regular-three,mixed-float32,assembled,True,True,True,
regular-two,first-stage-double,monolithic,True,True,True,
regular-two,first-stage-double,assembled,True,True,True,
regular-two,narrower-double,monolithic,True,True,True,
regular-two,narrower-double,assembled,True,True,True,
regular-two,wider-double,monolithic,True,True,True,
regular-two,wider-double,assembled,True,True,True,
regular-two,mixed-double,monolithic,True,True,True,
regular-two,mixed-double,assembled,True,True,True,
regular-two,first-stage-float32,monolithic,True,True,True,
regular-two,first-stage-float32,assembled,True,True,True,
regular-two,narrower-float32,monolithic,True,True,True,
regular-two,narrower-float32,assembled,True,True,True,
regular-two,wider-float32,monolithic,True,True,True,
regular-two,wider-float32,assembled,True,True,True,
regular-two,mixed-float32,monolithic,True,True,True,
regular-two,mixed-float32,assembled,True,True,True,
regular-weak,first-stage-double,monolithic,True,True,True,
regular-weak,first-stage-double,assembled,True,True,True,
regular-weak,narrower-double,monolithic,True,True,True,
regular-weak,narrower-double,assembled,True,True,True,
regular-weak,wider-double,monolithic,True,True,True,
regular-weak,wider-double,assembled,True,True,True,
regular-weak,mixed-double,monolithic,True,True,True,
regular-weak,mixed-double,assembled,True,True,True,
regular-weak,first-stage-float32,monolithic,True,True,True,
regular-weak,first-stage-float32,assembled,True,True,True,
regular-weak,narrower-float32,monolithic,True,True,True,
regular-weak,narrower-float32,assembled,True,True,True,
regular-weak,wider-float32,monolithic,True,True,True,
regular-weak,wider-float32,assembled,True,True,True,
regular-weak,mixed-float32,monolithic,True,True,True,
regular-weak,mixed-float32,assembled,True,True,True,
regular-zero,first-stage-double,monolithic,True,True,False,
regular-zero,first-stage-double,assembled,True,True,False,
regular-zero,narrower-double,monolithic,True,True,False,
regular-zero,narrower-double,assembled,True,True,False,cross-active-face at registered derivative steps
regular-zero,wider-double,monolithic,True,True,False,
regular-zero,wider-double,assembled,True,True,False,cross-active-face at registered derivative steps
regular-zero,mixed-double,monolithic,True,True,False,
regular-zero,mixed-double,assembled,True,True,False,
regular-zero,first-stage-float32,monolithic,True,True,False,cross-active-face at registered derivative steps
regular-zero,first-stage-float32,assembled,True,True,False,cross-active-face at registered derivative steps
regular-zero,narrower-float32,monolithic,True,True,False,cross-active-face at registered derivative steps
regular-zero,narrower-float32,assembled,True,True,False,cross-active-face at registered derivative steps
regular-zero,wider-float32,monolithic,True,True,False,cross-active-face at registered derivative steps
regular-zero,wider-float32,assembled,True,True,False,cross-active-face at registered derivative steps
regular-zero,mixed-float32,monolithic,True,True,False,cross-active-face at registered derivative steps
regular-zero,mixed-float32,assembled,True,True,False,cross-active-face at registered derivative steps
weak-1e-2,first-stage-double,monolithic,True,True,True,
weak-1e-2,first-stage-double,assembled,True,True,True,
weak-1e-2,narrower-double,monolithic,True,True,True,
weak-1e-2,narrower-double,assembled,True,True,True,
weak-1e-2,wider-double,monolithic,True,True,True,
weak-1e-2,wider-double,assembled,True,True,True,
weak-1e-2,mixed-double,monolithic,True,True,True,
weak-1e-2,mixed-double,assembled,True,True,True,
weak-1e-2,first-stage-float32,monolithic,True,True,True,
weak-1e-2,first-stage-float32,assembled,True,True,True,
weak-1e-2,narrower-float32,monolithic,True,True,True,
weak-1e-2,narrower-float32,assembled,True,True,True,
weak-1e-2,wider-float32,monolithic,True,True,True,
weak-1e-2,wider-float32,assembled,True,True,True,
weak-1e-2,mixed-float32,monolithic,True,True,True,
weak-1e-2,mixed-float32,assembled,True,True,True,
weak-1e-4,first-stage-double,monolithic,True,True,True,
weak-1e-4,first-stage-double,assembled,True,True,True,
weak-1e-4,narrower-double,monolithic,True,True,True,
weak-1e-4,narrower-double,assembled,True,True,True,
weak-1e-4,wider-double,monolithic,True,True,True,
weak-1e-4,wider-double,assembled,True,True,True,
weak-1e-4,mixed-double,monolithic,True,True,True,
weak-1e-4,mixed-double,assembled,True,True,True,
weak-1e-4,first-stage-float32,monolithic,True,True,True,
weak-1e-4,first-stage-float32,assembled,True,True,True,
weak-1e-4,narrower-float32,monolithic,True,True,True,
weak-1e-4,narrower-float32,assembled,True,True,True,
weak-1e-4,wider-float32,monolithic,True,True,True,
weak-1e-4,wider-float32,assembled,True,True,True,
weak-1e-4,mixed-float32,monolithic,True,True,True,
weak-1e-4,mixed-float32,assembled,True,True,True,
zero-signal,first-stage-double,monolithic,True,True,False,cross-active-face at registered derivative steps
zero-signal,first-stage-double,assembled,True,True,False,cross-active-face at registered derivative steps
zero-signal,narrower-double,monolithic,True,True,False,cross-active-face at registered derivative steps
zero-signal,narrower-double,assembled,True,True,False,cross-active-face at registered derivative steps
zero-signal,wider-double,monolithic,True,True,False,cross-active-face at registered derivative steps
zero-signal,wider-double,assembled,True,True,False,cross-active-face at registered derivative steps
zero-signal,mixed-double,monolithic,True,True,False,cross-active-face at registered derivative steps
zero-signal,mixed-double,assembled,True,True,False,cross-active-face at registered derivative steps
zero-signal,first-stage-float32,monolithic,True,True,False,cross-active-face at registered derivative steps
zero-signal,first-stage-float32,assembled,True,True,False,cross-active-face at registered derivative steps
zero-signal,narrower-float32,monolithic,True,True,False,cross-active-face at registered derivative steps
zero-signal,narrower-float32,assembled,True,True,False,cross-active-face at registered derivative steps
zero-signal,wider-float32,monolithic,True,True,False,cross-active-face at registered derivative steps
zero-signal,wider-float32,assembled,True,True,False,cross-active-face at registered derivative steps
zero-signal,mixed-float32,monolithic,True,True,False,cross-active-face at registered derivative steps
zero-signal,mixed-float32,assembled,True,True,False,cross-active-face at registered derivative steps
