dataset,case,scope,atoms,rows,search_counter_scope,profile_evaluations,accepted_updates,search_reference_solves,endpoint_reference_solves,audit_reference_solves,post_search_trust_reference_solves,refreshed_assessment_reference_solves,precision_reference_pairs_requested,boundary_reference_pairs_requested,boundary_seconds,refreshed_assessment_seconds,search_seconds,search_reference_seconds_nested,endpoint_audit_seconds,audit_seconds,precision_seconds_nested,process_peak_rss_bytes
regular-near,mixed-float32,monolithic,24,14694,this-search,12,11,12,13,103,0,13,1,0,0,0.112896167,0.3672875,0.155671874,0.119592208,29.49068325,28.197646792,231735296
regular-near,mixed-float32,assembled,24,14694,sum-of-components,19,15,19,13,103,0,13,1,0,0,0.110080625,0,0,0.1243785,29.43756625,28.170974833,231735296
regular-near,mixed-float32,00:baseline:1,12,7451,this-search,7,5,7,13,103,1,13,1,0,0,0.036447333,0.066265125,0.028740501,0.038144625,0.612858167,0.109807916,231735296
regular-near,mixed-float32,01:near-0.02:1,12,7243,this-search,12,10,12,13,103,1,13,1,0,0,0.036056666,0.114549958,0.048474625,0.038164209,0.619667667,0.118153875,231735296
regular-three,first-stage-double,monolithic,36,22145,this-search,7,5,7,13,103,0,13,1,0,0,0.291417333,0.490426542,0.21842308100000002,0.278481958,43.890821167,41.314033542,255524864
regular-three,first-stage-double,assembled,36,22145,sum-of-components,19,16,19,13,103,0,13,1,0,0,0.268819083,0,0,0.285275083,17.1252935,14.545751583,256098304
regular-three,first-stage-double,00:baseline:1,12,7451,this-search,6,5,6,13,103,1,13,1,0,0,0.036179208,0.054596084,0.023780126000000002,0.036968167,0.617180334,0.109773625,256098304
regular-three,first-stage-double,01:baseline:1,12,7451,this-search,6,5,6,13,103,1,13,1,0,0,0.036487917,0.054709167,0.024075208999999997,0.037118416,0.610547041,0.109141541,256098304
regular-three,first-stage-double,02:near-0.10:1,12,7243,this-search,7,6,7,13,103,1,13,1,0,0,0.036024583,0.062790125,0.027078791000000005,0.036108917,0.61959775,0.118511125,256098304
regular-three,narrower-double,monolithic,36,22145,this-search,12,11,12,13,1,0,13,0,0,0,0.272500333,0.899458583,0.384813,0.27766,0.067344583,0,256098304
regular-three,narrower-double,assembled,36,22145,sum-of-components,26,23,26,13,1,0,13,0,0,0,0.269338917,0,0,0.285965083,0.061471417,0,256098304
regular-three,narrower-double,00:baseline:1,12,7451,this-search,7,6,7,13,1,1,13,0,0,0,0.036026208,0.064221,0.027887208999999996,0.036969916,0.008944125,0,256098304
regular-three,narrower-double,01:baseline:1,12,7451,this-search,7,6,7,13,1,1,13,0,0,0,0.036172334,0.064061417,0.027897999999999996,0.036994333,0.0090165,0,256098304
regular-three,narrower-double,02:near-0.10:1,12,7243,this-search,12,11,12,13,1,1,13,0,0,0,0.035965667,0.113848667,0.047620793,0.036580541,0.009017917,0,256098304
