alpha,seed,phase,iteration,objective,stationarity,variance,linear_solves,backtracks
0.1,checkpoint,primary,29,-10.195976682305842,0.016054800210823884,1.2660421227461596e-08,29,0
0.1,checkpoint,primary,30,-10.197497308073503,0.015121304516618892,1.2402467755042966e-08,30,0
0.1,checkpoint,primary,31,-10.198839919864232,0.01424722943311255,1.2164674252336034e-08,31,0
0.1,checkpoint,primary,32,-10.20002692962781,0.013428683755846705,1.1945096011184082e-08,32,0
0.1,checkpoint,primary,33,-10.201077693994245,0.01266195300498341,1.1742013136817352e-08,33,0
0.1,checkpoint,primary,34,-10.202008960769984,0.011943513050399607,1.1553901071309924e-08,34,0
0.1,checkpoint,primary,35,-10.202835247375921,0.011270040621272948,1.137940538061772e-08,35,0
0.1,checkpoint,primary,36,-10.203569161890927,0.010638419013107987,1.1217320087311817e-08,36,0
0.1,checkpoint,primary,37,-10.204221675380415,0.010045738815819511,1.1066568995167109e-08,37,0
0.1,checkpoint,primary,38,-10.20480235290194,0.009489294303702312,1.0926189561946999e-08,38,0
0.1,checkpoint,primary,39,-10.205319549526337,0.008966576463769391,1.0795318954212368e-08,39,0
0.1,checkpoint,primary,40,-10.205780576838077,0.008475263604113024,1.0673181975485592e-08,40,0
0.1,checkpoint,primary,41,-10.206191844565232,0.008013210430911178,1.0559080605575501e-08,41,0
0.1,checkpoint,primary,42,-10.206558981286458,0.007578436337689013,1.045238492619468e-08,42,0
0.1,checkpoint,primary,43,-10.20688693752412,0.007169113435881214,1.0352525239426738e-08,43,0
0.1,checkpoint,primary,44,-10.207180074006237,0.0067835547697821,1.0258985213063135e-08,44,0
0.1,checkpoint,primary,45,-10.207442237404772,0.006420202937053535,1.0171295909631927e-08,45,0
0.1,checkpoint,primary,46,-10.207676825493696,0.0060776193446519695,1.008903057687234e-08,46,0
0.1,checkpoint,primary,47,-10.2078868433307,0.005754474161986257,1.0011800094102128e-08,47,0
0.1,checkpoint,primary,48,-10.208074951812007,0.005449537045526049,9.939248984470053e-09,48,0
0.1,checkpoint,primary,49,-10.20824350972824,0.0051616685673293895,9.871051915582423e-09,49,0
0.1,checkpoint,primary,50,-10.208394610272652,0.004889812460927515,9.806910623031479e-09,50,0
0.1,checkpoint,primary,51,-10.20853011278711,0.004632988493638069,9.746551199117559e-09,51,0
0.1,checkpoint,primary,52,-10.208651670430688,0.004390286023398558,9.689721699147587e-09,52,0
0.1,checkpoint,primary,53,-10.208760754332689,0.0041608581541464525,9.63619002326292e-09,53,0
0.1,checkpoint,primary,54,-10.208858674715643,0.003943916445097648,9.585742038135808e-09,54,0
0.1,checkpoint,primary,55,-10.208946599397075,0.0037387261044277455,9.538179907798171e-09,55,0
0.1,checkpoint,primary,56,-10.209025570024055,0.003544601659636718,9.493320607376576e-09,56,0
0.1,checkpoint,primary,57,-10.209096516339027,0.003360903010820041,9.450994596720877e-09,57,0
0.1,checkpoint,primary,58,-10.20916026873071,0.003187031864847121,9.411044634555076e-09,58,0
