state_id,serial_id,prediction,metric,n,bias,rmse,p99,max
baseline-best-28,117,matched,total,200,0.000775397188290134,0.0015432598722603874,0.0035091915262324136,0.0038566702582296664
baseline-best-28,118,analytic,estimation,200,0.000907877644729893,0.0013013267801487629,0.002718106248066565,0.0030442440614599775
baseline-best-28,118,analytic,operator,200,0.0012183219550235644,0.05425107035864602,0.17683167048649628,0.2612586660167685
baseline-best-28,118,analytic,total,200,0.002126199599753458,0.05439584428069092,0.17800284321698934,0.2605535794705846
baseline-best-28,118,matched,estimation,200,0.0008931338291782122,0.0012925505395241473,0.0026942491722398154,0.003083006495839369
baseline-best-28,118,matched,operator,200,0.0,0.0,0.0,0.0
baseline-best-28,118,matched,total,200,0.0008931338291782122,0.0012925505395241473,0.0026942491722398154,0.003083006495839369
baseline-best-28,119,analytic,estimation,200,-0.0001797445142338502,0.0006831934901190211,0.0012709000260854308,0.001275145966111113
baseline-best-28,119,analytic,operator,200,0.0026095662690281164,0.057838325638993826,0.22761326442762053,0.2641703221493108
baseline-best-28,119,analytic,total,200,0.002429821754794266,0.057966981258224366,0.22823313291490355,0.26451928179904305
baseline-best-28,119,matched,estimation,200,-0.00019288169760177845,0.0006663336627676826,0.0012708978017592076,0.0012751221629204723
baseline-best-28,119,matched,operator,200,0.0,0.0,0.0,0.0
baseline-best-28,119,matched,total,200,-0.00019288169760177845,0.0006663336627676826,0.0012708978017592076,0.0012751221629204723
baseline-best-28,120,analytic,estimation,200,-0.0016323372525279694,0.0018027006632539005,0.003648251339251285,0.004224717776614151
baseline-best-28,120,analytic,operator,200,2.12762223945976e-05,0.02703599939686227,0.15050807705360258,0.17207767656355366
baseline-best-28,120,analytic,total,200,-0.0016110610301333717,0.027077770630049347,0.15209951004933975,0.16920531704006447
baseline-best-28,120,matched,estimation,200,-0.0016372744729194438,0.0018058846874480102,0.003649627468765848,0.004115865891985315
baseline-best-28,120,matched,operator,200,0.0,0.0,0.0,0.0
baseline-best-28,120,matched,total,200,-0.0016372744729194438,0.0018058846874480102,0.003649627468765848,0.004115865891985315
baseline-best-28,121,analytic,estimation,200,0.0013504646728881844,0.0014798459253456005,0.0022648048457974412,0.0023441621440496996
baseline-best-28,121,analytic,operator,200,-0.0048343395916859225,0.03839397503109783,0.23560308443950306,0.30490764289510885
baseline-best-28,121,analytic,total,200,-0.003483874918797738,0.03823310676383237,0.23460167424128514,0.3031804276990051
baseline-best-28,121,matched,estimation,200,0.0013547915036582745,0.001482894317564277,0.0022914843672627305,0.0025884331034111696
baseline-best-28,121,matched,operator,200,0.0,0.0,0.0,0.0
baseline-best-28,121,matched,total,200,0.0013547915036582745,0.001482894317564277,0.0022914843672627305,0.0025884331034111696
baseline-best-28,122,analytic,estimation,200,0.000885946455994438,0.0011012279383356464,0.0022913616437495454,0.0023385492356153836
baseline-best-28,122,analytic,operator,200,0.0008617882714272211,0.022382862425064813,0.10758419573012928,0.11458243930723555
baseline-best-28,122,analytic,total,200,0.0017477347274216593,0.022484728830764866,0.10760854558282221,0.11688914178681092
baseline-best-28,122,matched,estimation,200,0.0008943077360286136,0.0011071978101543367,0.0022970753293095614,0.0023038893234788027
baseline-best-28,122,matched,operator,200,0.0,0.0,0.0,0.0
baseline-best-28,122,matched,total,200,0.0008943077360286136,0.0011071978101543367,0.0022970753293095614,0.0023038893234788027
baseline-best-28,123,analytic,estimation,200,-0.00044400013527031546,0.001275995844884744,0.0057465964710679,0.00631017897174635
baseline-best-28,123,analytic,operator,200,-0.0015594936219163972,0.04378197075594939,0.1604189115477619,0.18226726785848216
baseline-best-28,123,analytic,total,200,-0.0020034937571867125,0.04366718559547344,0.16035380280033373,0.18260458177948363
baseline-best-28,123,matched,estimation,200,-0.00043772705159052835,0.0012852455732489836,0.005849175960220165,0.0063244521635037465
baseline-best-28,123,matched,operator,200,0.0,0.0,0.0,0.0
baseline-best-28,123,matched,total,200,-0.00043772705159052835,0.0012852455732489836,0.005849175960220165,0.0063244521635037465
