effective_n,effective_fraction,maximum_row_share,top_one_percent_share,underflow_count,owner,alpha,rows,variance,scale_equation,denominator,denominator_margin,log_prefactor,scaled_prefactor,linear_weight_share,seed,serial_id
65434.0,1.0,1.5282574808203687e-05,0.010010086499373414,0,33,0.0,65434,4.914223675464237e-07,4.959921447348219e-15,65434.0,1.0,-1.6867993995420516,8.075845602952717e-12,1.7842021547564517e-11,checkpoint,34
56782.1195056289,0.8675383411603755,1.867068927036657e-05,0.012229301284596834,0,34,0.2,65452,6.278456463097402e-08,0.0025257234626060083,43601.68192046462,0.6661627134459547,2.0274097799959425,3.3132069115609293e-10,5.991572102401588e-10,checkpoint,35
34171.62757674314,0.522254398935415,3.228965617212566e-05,0.02114943641757384,9790,35,1.0,65431,1.287476248069576e-10,-0.00030838445383424284,7836.3182204659115,0.11976461036001149,17.721243773680186,0.0021676744666280635,0.002266643524646684,checkpoint,36
33799.19168509935,0.5167045034641333,3.2516832985731876e-05,0.021297430883002583,9052,36,1.0,65413,8.578853346847949e-11,-0.0001573942467773537,7626.314320530247,0.11658713589852547,18.33047201488796,0.003986378440636676,0.004139261505655856,checkpoint,37
41577.93361867927,0.6355247178924731,2.6341149657793703e-05,0.017253266565003526,7708,37,0.4,65423,2.0890419202565554e-11,-0.0006782132405305373,22165.55034838626,0.33880363707543615,13.266380254464286,2.519250874501527e-05,3.229157847638272e-05,checkpoint,38
37168.31066271192,0.5678365720898301,3.0173538559300547e-05,0.01976316441693938,7068,38,0.8999999999999999,65456,4.092899409264945e-11,-3.556260660537774e-05,10647.886872123467,0.16267243449223093,18.28452626963224,0.003807365250004903,0.004260404937755647,checkpoint,39
51833.18496032273,0.792108210344648,2.0463474916483324e-05,0.013403564936095366,800,39,0.2,65437,3.074582606015622e-10,-0.0068258989076053845,38911.63318675225,0.5946426820721038,7.878676697398686,1.1519178099840508e-07,1.9006173614311352e-07,checkpoint,40
65423.0,1.0,1.5285144368188557e-05,0.010011769561163505,0,40,0.0,65423,7.5133306898709485e-06,5.6332563200809145e-15,65423.0,1.0,-4.413761447123152,5.283034389741221e-13,1.1669882283431638e-12,checkpoint,41
65499.0,1.0,1.5267408662727676e-05,0.010000152674086627,0,41,0.0,65499,1.366470525976739e-05,4.251761447517138e-16,65499.0,1.0,-5.013059825928778,2.901425734785538e-13,6.416507567521538e-13,checkpoint,42
39270.31270262332,0.5999222826902842,2.7629460808787076e-05,0.01809720752022029,5768,42,0.4,65459,1.7401899266466384e-08,-0.021610864352909195,20386.69281243633,0.3114421670425202,5.195777352627355,7.875046232162795e-09,9.62350518896597e-09,checkpoint,43
49442.78819810917,0.7554283911093838,2.1398131040782382e-05,0.014015771643379632,688,43,0.2,65450,5.8167049714536725e-08,-0.015096906521463763,36775.152986031506,0.5618816346223301,2.111469577919587,3.603755058807597e-10,5.686329278233531e-10,checkpoint,44
39537.99363726273,0.6040854018618925,2.8380778273192402e-05,0.018589109195719725,6640,44,0.8999999999999999,65451,3.1430910923937683e-09,-0.004083509650354211,12743.098936451624,0.19469677982691821,11.989973867365883,7.02967371278746e-06,8.363026042411955e-06,checkpoint,45
65467.0,1.0,1.527487130920922e-05,0.01000504070753204,0,45,0.0,65467,3.206798299742712e-06,-2.715534597728314e-15,65467.0,1.0,-3.563027924292907,1.2369504765791277e-12,2.734181464240145e-12,checkpoint,46
45602.237493040295,0.6968024676146427,2.4131166185086457e-05,0.015805795442928917,4969,46,0.4,65445,3.310627030233893e-10,-0.002259510454703948,25637.00817321891,0.3917336415802416,9.95042345776155,9.144704554958194e-07,1.27951078506463e-06,checkpoint,47
41879.86853715429,0.639973541215683,2.667932730896011e-05,0.017474312918395206,7906,47,0.6,65440,8.766858108168977e-11,-0.006594837246486462,18081.630964553602,0.27630854163437657,13.81048235443373,4.3408218010844595e-05,5.493506780384594e-05,checkpoint,48
41334.17093814938,0.6319726464054641,2.5452922679976832e-05,0.016671658195147005,2585,48,0.2,65405,4.134797259022075e-08,-0.019372108625575486,29337.16512888766,0.4485462140339066,2.4875825754869227,5.249271847651177e-10,6.963282081795285e-10,checkpoint,49
42192.84887304182,0.644352543074202,2.497266194899833e-05,0.016357085421441642,714,49,0.2,65481,1.1105429725060714e-07,0.004899304138695402,30081.171879896152,0.4593877900443816,1.3996258174402905,1.768501562627621e-10,2.3910749641165017e-10,checkpoint,50
34759.822284512,0.5311627616404395,3.173307999559066e-05,0.020784567596526693,13849,50,0.7999999999999999,65441,5.75565479372427e-09,-0.004979966652499684,9834.260394305857,0.15027674385027515,10.202083838819815,1.1761545520535839e-06,1.2514247781363512e-06,checkpoint,51
47462.98187296905,0.725157090279427,2.2379377290877716e-05,0.014658422997361574,7574,51,0.2,65452,1.4730076052843517e-09,-0.02666755263120136,34725.79108387375,0.5305535519750925,6.155053032189731,2.0552338601101437e-08,3.1007434201847766e-08,checkpoint,52
34020.04618568447,0.5198503435971467,3.2482092965983936e-05,0.021275224613451993,16300,52,1.0,65442,1.780074803512049e-09,-0.0006658398640205232,7648.952501583739,0.11688139882008097,13.78124080841589,4.215727351742797e-05,4.382087978665186e-05,checkpoint,53
34200.68888514861,0.5224749673100507,3.241393838070519e-05,0.021230221875046373,15502,53,1.0,65459,1.409744270871274e-09,-0.00013254367876563977,7707.674160827744,0.11774811959895116,14.130851672291165,5.9800743627812305e-05,6.22912957350521e-05,checkpoint,54
35174.861793739525,0.5372012247432653,3.179800370027173e-05,0.020826537718631712,13956,54,1.0,65478,1.3972098845071319e-09,-0.00028648960107985344,8298.545978769182,0.12673792691849448,14.143957973375324,6.0589668831368705e-05,6.433559214918488e-05,checkpoint,55
44169.36635946156,0.6748153872866679,2.4170899626510884e-05,0.01583159781301973,9894,55,0.2,65454,3.755905695744475e-10,-0.0017178714617201523,31413.55471055324,0.47993330752212604,7.65824061011675,9.24032649458053e-08,1.290764711646337e-07,checkpoint,56
44227.68570838443,0.6757786561398449,2.4118410054242692e-05,0.01579713850147843,9346,56,0.2,65447,3.772383955685539e-10,-0.0016676255306351888,31504.658919886024,0.481376669975492,7.6535320942534435,9.196920539705123e-08,1.2874973433465872e-07,checkpoint,57
65480.0,1.0,1.5271838729383018e-05,0.010003054367745876,0,57,0.0,65480,3.4753945779612603e-05,8.0778389475262e-16,65480.0,1.0,-5.946246566103566,1.1411260165002768e-13,2.5228699285867195e-13,checkpoint,58
40841.588361900394,0.624031114196009,2.5800629445095266e-05,0.01689936646455609,4515,58,0.2,65448,6.7999525423676395e-09,-0.010763543205104484,28801.148226099423,0.4400615484980354,4.472543881793742,3.8208220072431924e-09,5.0001045776011744e-09,checkpoint,59
33593.74532437613,0.5132655776745371,3.2674486807758064e-05,0.021401291279174582,8476,59,0.8999999999999999,65451,5.198606115458015e-09,-0.0012036134395145954,8112.901774469512,0.12395382460878386,11.260357364741804,3.3889623685926016e-06,3.501954940486535e-06,checkpoint,60
38965.221845722874,0.5954252203622022,2.9146076447249168e-05,0.019090182241187244,7453,60,0.8999999999999999,65441,1.643674679262125e-09,-0.0005837251948486283,11821.355314306951,0.18064142226290783,12.930121567705466,1.7998492268761317e-05,2.0850122391629138e-05,checkpoint,61
65354.0,1.0,1.5301282247452337e-05,0.010007038589833829,0,61,0.0,65354,8.597783399684949e-06,-1.0948320453383433e-16,65354.0,1.0,-4.5475317733084815,4.621550715523719e-13,1.019794063552524e-12,checkpoint,62
55380.905810148455,0.8467510520785955,1.866659151348966e-05,0.012226570026137583,819,62,0.1,65404,1.675689218514664e-09,-0.006508175418552923,47902.52905215824,0.7324097769579574,5.00850699611558,6.530142065908369e-09,1.181163963139687e-08,checkpoint,63
52537.952840890015,0.8027311775716973,2.0843360667443875e-05,0.013652330432837114,768,63,0.30000000000000004,65449,3.7927396120908317e-10,-0.0020191815886363073,34730.16112927038,0.5306446413126309,8.720368899781866,2.672783440856019e-07,4.3296083339100765e-07,checkpoint,64
56292.048428457005,0.8598800645911098,1.9055294066620663e-05,0.012481136979533429,59,64,0.2,65465,5.19264625032296e-10,-0.003183102012338354,42518.67167751896,0.6494870797757422,7.3017671797595165,6.46953211344551e-08,1.1463303743874428e-07,checkpoint,65
65429.0,1.0,1.528374268290819e-05,0.010010851457304865,0,65,0.0,65429,3.477138777835616e-08,-2.641490525270676e-15,65429.0,1.0,0.9617861349857542,1.1414426340006543e-10,2.5216044083727173e-10,checkpoint,66
38635.857285922866,0.5904644030676091,2.8033046997065274e-05,0.018361508235797307,2107,66,0.4,65433,2.362113537876249e-08,-0.0030212889687076393,19871.90409477137,0.3036985022048717,4.8294995971548,5.459849907841963e-09,6.576017820638339e-09,checkpoint,67
37749.54040972303,0.5766369878518754,2.944884126414854e-05,0.01928879882675126,1756,67,0.7999999999999999,65465,5.060616062530951e-08,-0.0002593408418048058,12270.64677200868,0.18743827651430048,7.158270454479347,5.6047085911775086e-08,6.425950982669315e-08,checkpoint,68
45850.301926672335,0.7004537554870656,2.379890419891025e-05,0.015588271170359694,455,68,0.4,65458,1.351601074453013e-07,0.0003291451338638252,26212.425006842186,0.40044646959641583,2.7359357855391506,6.729107914813722e-10,9.546696473377168e-10,checkpoint,69
65447.0,1.0,1.527953916909866e-05,0.010008098155759622,0,69,0.0,65447,1.0638568199881435e-05,-5.3537984981386565e-15,65447.0,1.0,-4.761935262388221,3.7296963111016913e-13,8.241680934855793e-13,checkpoint,70
53628.65644612423,0.8183458173153103,1.9769733213368784e-05,0.0129688897665255,280,70,0.2,65533,4.935046420025211e-08,0.000649595661443811,40611.84357948516,0.6197159229622505,2.2910112905124227,4.3125013108575784e-10,7.365140125527701e-10,checkpoint,71
59860.48824456727,0.9147245342303337,1.727916557566508e-05,0.011317623637331476,103,71,0.1,65441,3.488345059965963e-08,0.004524569190351376,52200.842671311024,0.7976779491650651,1.8203640755560602,2.6935792122311504e-10,5.263317489611679e-10,checkpoint,72
56193.06228038519,0.8587090615746754,1.8961713435735074e-05,0.012419919401420383,0,72,0.2,65439,3.148269277719471e-07,-0.0001405968760422953,42781.62326784286,0.6537634020667011,0.25406324399999897,5.6246298012074363e-11,1.0015414947175192e-10,checkpoint,73
49673.18851962619,0.7593431044335665,2.220577505397418e-05,0.014544779875872814,386,73,0.4,65416,1.1150080012308397e-07,-0.0005668998989891015,29237.15569060025,0.44694196665342195,2.9674915721905113,8.482441897841381e-10,1.2897559497649993e-09,checkpoint,74
