dataset,case,serial_id,A,B,C,A_error,B_error,C_error,truth_comparison_identifiable
zero-signal,wider-double,1,6.000000000000003,0.5,0.2000000000000011,2.6645352591003757e-15,0.0,1.0824674490095276e-15,False
zero-signal,wider-double,2,6.999999999999998,0.44999999999999996,-0.2000000000000005,-1.7763568394002505e-15,-5.551115123125783e-17,-4.996003610813204e-16,False
zero-signal,wider-double,3,8.000000000000002,0.4,0.20000000000000018,1.7763568394002505e-15,0.0,1.6653345369377348e-16,False
zero-signal,wider-double,4,5.999999999999997,0.5,-0.2,-2.6645352591003757e-15,0.0,0.0,False
zero-signal,wider-double,5,6.999999999999998,0.45,0.20000000000000037,-1.7763568394002505e-15,0.0,3.608224830031759e-16,False
zero-signal,wider-double,6,4.512831496613231e-16,0.696480768785914,1.3361612639399845e-17,4.512831496613231e-16,0.296480768785914,1.3361612639399845e-17,False
zero-signal,wider-double,7,6.000000000000005,0.5,0.19999999999999987,5.329070518200751e-15,0.0,-1.3877787807814457e-16,False
zero-signal,wider-double,8,6.999999999999992,0.45,-0.19999999999999982,-7.993605777301127e-15,0.0,1.942890293094024e-16,False
zero-signal,wider-double,9,8.000000000000002,0.4,0.1999999999999998,1.7763568394002505e-15,0.0,-2.220446049250313e-16,False
zero-signal,wider-double,10,5.999999999999995,0.5,-0.2,-5.329070518200751e-15,0.0,0.0,False
zero-signal,wider-double,11,7.000000000000001,0.45,0.20000000000000004,8.881784197001252e-16,0.0,2.7755575615628914e-17,False
zero-signal,wider-double,12,8.000000000000002,0.4,-0.20000000000000015,1.7763568394002505e-15,0.0,-1.3877787807814457e-16,False
zero-signal,mixed-double,1,6.000000000000008,0.5,0.20000000000000043,7.993605777301127e-15,0.0,4.163336342344337e-16,False
zero-signal,mixed-double,2,6.999999999999998,0.45,-0.2000000000000006,-1.7763568394002505e-15,0.0,-5.828670879282072e-16,False
zero-signal,mixed-double,3,8.000000000000002,0.4,0.2000000000000004,1.7763568394002505e-15,0.0,3.885780586188048e-16,False
zero-signal,mixed-double,4,5.999999999999997,0.5,-0.20000000000000015,-2.6645352591003757e-15,0.0,-1.3877787807814457e-16,False
zero-signal,mixed-double,5,7.000000000000001,0.45,0.20000000000000007,8.881784197001252e-16,0.0,5.551115123125783e-17,False
zero-signal,mixed-double,6,0.0,1.164624419167556,5.74699012508019e-18,0.0,0.7646244191675561,5.74699012508019e-18,False
zero-signal,mixed-double,7,6.000000000000007,0.5,0.19999999999999987,7.105427357601002e-15,0.0,-1.3877787807814457e-16,False
zero-signal,mixed-double,8,6.999999999999998,0.45,-0.20000000000000004,-1.7763568394002505e-15,0.0,-2.7755575615628914e-17,False
zero-signal,mixed-double,9,8.0,0.4000000000000001,0.19999999999999976,0.0,5.551115123125783e-17,-2.498001805406602e-16,False
zero-signal,mixed-double,10,5.999999999999998,0.5,-0.20000000000000012,-1.7763568394002505e-15,0.0,-1.1102230246251565e-16,False
zero-signal,mixed-double,11,7.0000000000000036,0.45000000000000007,0.20000000000000015,3.552713678800501e-15,5.551115123125783e-17,1.3877787807814457e-16,False
zero-signal,mixed-double,12,8.000000000000002,0.4000000000000001,-0.20000000000000015,1.7763568394002505e-15,5.551115123125783e-17,-1.3877787807814457e-16,False
zero-signal,first-stage-float32,1,5.999999987804542,0.5000000006856877,0.19999999988685177,-1.219545797681576e-08,6.85687728818607e-10,-1.1314824077679475e-10,False
zero-signal,first-stage-float32,2,6.999999903923903,0.4499999976026185,-0.1999999992925599,-9.60760973001129e-08,-2.397381515528707e-09,7.074401064954827e-10,False
zero-signal,first-stage-float32,3,7.999999991513011,0.4000000012649445,0.19999999946580102,-8.486988889444547e-09,1.2649444824930356e-09,-5.341989905982558e-10,False
zero-signal,first-stage-float32,4,6.000000009416746,0.49999999975158127,-0.19999999996994813,9.416745605506094e-09,-2.4841873003111914e-10,3.005187765303674e-11,False
zero-signal,first-stage-float32,5,7.000000008000484,0.45000000037431886,0.1999999990073665,8.000483830983285e-09,3.7431885369088036e-10,-9.926335031718025e-10,False
zero-signal,first-stage-float32,6,3.68942974084909e-08,0.6264674633392143,3.045082268578403e-10,3.68942974084909e-08,0.2264674633392143,3.045082268578403e-10,False
zero-signal,first-stage-float32,7,6.000000015617595,0.5000000019416928,0.19999999723270598,1.5617595217065627e-08,1.9416928065396633e-09,-2.7672940328127282e-09,False
zero-signal,first-stage-float32,8,6.999999992297046,0.44999999946292957,-0.19999999677142358,-7.70295383034636e-09,-5.370704436735707e-10,3.228576433977892e-09,False
zero-signal,first-stage-float32,9,7.999999976132775,0.39999999777016404,0.1999999993149876,-2.3867224641094253e-08,-2.2298359825256853e-09,-6.850124079083031e-10,False
zero-signal,first-stage-float32,10,6.000000039992055,0.5000000013180009,-0.20000000025919568,3.9992055000936944e-08,1.3180009306168472e-09,-2.5919566493115553e-10,False
zero-signal,first-stage-float32,11,7.0000000001492015,0.45000000038292676,0.19999999748660138,1.4920154001174524e-10,3.829267458677066e-10,-2.5133986281122844e-09,False
zero-signal,first-stage-float32,12,7.999999995254156,0.3999999982301493,-0.19999999799661558,-4.745843718012566e-09,-1.7698507104313421e-09,2.0033844305711312e-09,False
zero-signal,narrower-float32,1,5.999999987803835,0.5000000006856634,0.1999999998868164,-1.2196164966837841e-08,6.856634149343677e-10,-1.1318360138012906e-10,False
zero-signal,narrower-float32,2,6.999999903923333,0.4499999976025913,-0.1999999992927212,-9.607666662247993e-08,-2.3974087159928104e-09,7.072788188455803e-10,False
zero-signal,narrower-float32,3,7.9999999915161215,0.4000000012649698,0.19999999946619498,-8.483878488618757e-09,1.264969795577997e-09,-5.338050279579676e-10,False
zero-signal,narrower-float32,4,6.000000009413124,0.49999999975148224,-0.1999999999701389,9.413123613910557e-09,-2.485177619249157e-10,2.986111358183052e-11,False
zero-signal,narrower-float32,5,7.000000008005158,0.4500000003743727,0.1999999990080801,8.005158314006167e-09,3.743726995075747e-10,-9.919199073227247e-10,False
zero-signal,narrower-float32,6,3.683619530706819e-08,0.6260466129822653,3.0534543122358184e-10,3.683619530706819e-08,0.22604661298226525,3.0534543122358184e-10,False
zero-signal,narrower-float32,7,6.000000015618995,0.5000000019417401,0.19999999723296671,1.5618994986255075e-08,1.9417401020405123e-09,-2.767033296935395e-09,False
zero-signal,narrower-float32,8,6.999999992297088,0.4499999994629319,-0.19999999677180647,-7.702912085960634e-09,-5.37068112205219e-10,3.2281935458122746e-09,False
zero-signal,narrower-float32,9,7.9999999761332745,0.3999999977701675,0.19999999931480822,-2.3866725484822382e-08,-2.229832540834309e-09,-6.851917921935069e-10,False
zero-signal,narrower-float32,10,6.000000039991415,0.5000000013179765,-0.20000000025922987,3.999141462429634e-08,1.3179765057103054e-09,-2.59229859800314e-10,False
zero-signal,narrower-float32,11,7.00000000014858,0.4500000003828995,0.19999999748643857,1.4857981511795515e-10,3.8289948989245204e-10,-2.5135614423188457e-09,False
zero-signal,narrower-float32,12,7.999999995257218,0.39999999823017457,-0.19999999799622123,-4.742782166999859e-09,-1.769825452857532e-09,2.003778781789478e-09,False
zero-signal,wider-float32,1,5.9999999878035934,0.5000000006856552,0.19999999988680497,-1.2196406551368e-08,6.856551992839854e-10,-1.131950366772827e-10,False
zero-signal,wider-float32,2,6.999999903923147,0.44999999760258225,-0.1999999992927755,-9.607685313994807e-08,-2.397417764310461e-09,7.072245011841005e-10,False
zero-signal,wider-float32,3,7.999999991517149,0.4000000012649782,0.19999999946632566,-8.482850866187164e-09,1.264978177761833e-09,-5.336743547079692e-10,False
zero-signal,wider-float32,4,6.000000009411914,0.4999999997514493,-0.19999999997020187,9.411913914902925e-09,-2.4855068003759584e-10,2.979813618075866e-11,False
zero-signal,wider-float32,5,7.000000008006707,0.4500000003743906,0.19999999900831708,8.006707297170124e-09,3.7439057409827114e-10,-9.916829302181185e-10,False
zero-signal,wider-float32,6,3.681693080817602e-08,0.6259070937111921,3.0562344517703657e-10,3.681693080817602e-08,0.2259070937111921,3.0562344517703657e-10,False
zero-signal,wider-float32,7,6.0000000156194595,0.5000000019417559,0.19999999723305356,1.5619459503568578e-08,1.941755867207462e-09,-2.7669464497392937e-09,False
zero-signal,wider-float32,8,6.999999992297105,0.4499999994629326,-0.19999999677193311,-7.70289521057066e-09,-5.37067390560253e-10,3.2280668971207405e-09,False
zero-signal,wider-float32,9,7.9999999761334335,0.3999999977701686,0.19999999931474863,-2.3866566500885256e-08,-2.2298314306112843e-09,-6.852513834143537e-10,False
