dataset,variant,left,right,scaled_abc_difference,maximum_log_b_difference,both_qualified,passed
weak-1e-2,guarded-log,first-stage-float32,narrower-float32,1.0894712108419717e-15,2.7755575615628914e-15,True,True
weak-1e-2,guarded-log,first-stage-float32,wider-float32,7.612957910637186e-16,1.5543122344752192e-15,True,True
weak-1e-2,guarded-log,first-stage-float32,mixed-float32,1.0375916293733075e-15,9.992007221626409e-16,True,True
weak-1e-2,guarded-log,narrower-float32,wider-float32,1.7379659792002882e-15,1.2212453270876722e-15,True,True
weak-1e-2,guarded-log,narrower-float32,mixed-float32,2.127062840215278e-15,2.3314683517128287e-15,True,True
weak-1e-2,guarded-log,wider-float32,mixed-float32,6.349742608313291e-16,1.1102230246251565e-15,True,True
weak-1e-4,legacy,first-stage-double,narrower-double,8.533403868584507e-14,2.750022431996513e-13,False,True
weak-1e-4,legacy,first-stage-double,wider-double,6.498769776287878e-14,2.274846977456946e-13,False,True
weak-1e-4,legacy,first-stage-double,mixed-double,6.35602681597894e-14,2.2248869413488137e-13,False,True
weak-1e-4,legacy,narrower-double,wider-double,9.031090052037126e-14,2.9098945475425353e-13,False,True
weak-1e-4,legacy,narrower-double,mixed-double,7.585202307528205e-14,2.6545432518787493e-13,False,True
weak-1e-4,legacy,wider-double,mixed-double,4.618527782440049e-14,1.3855583347321954e-13,False,True
weak-1e-4,legacy,first-stage-float32,narrower-float32,7.731966945252947e-10,2.7061918261850337e-09,False,True
weak-1e-4,legacy,first-stage-float32,wider-float32,7.770497254525924e-10,2.719677372198248e-09,False,True
weak-1e-4,legacy,first-stage-float32,mixed-float32,7.6899897882785e-10,2.691499800810959e-09,False,True
weak-1e-4,legacy,narrower-float32,wider-float32,1.1240274704090801e-10,3.6218683607813773e-10,False,True
weak-1e-4,legacy,narrower-float32,mixed-float32,7.825484687664214e-11,2.5215451948668033e-10,False,True
weak-1e-4,legacy,wider-float32,mixed-float32,1.906575939087541e-10,6.143413555648181e-10,False,True
weak-1e-4,guarded,first-stage-double,narrower-double,8.533403868584507e-14,2.750022431996513e-13,False,True
weak-1e-4,guarded,first-stage-double,wider-double,6.498769776287878e-14,2.274846977456946e-13,False,True
weak-1e-4,guarded,first-stage-double,mixed-double,6.35602681597894e-14,2.2248869413488137e-13,False,True
weak-1e-4,guarded,narrower-double,wider-double,9.031090052037126e-14,2.9098945475425353e-13,False,True
weak-1e-4,guarded,narrower-double,mixed-double,7.585202307528205e-14,2.6545432518787493e-13,False,True
weak-1e-4,guarded,wider-double,mixed-double,4.618527782440049e-14,1.3855583347321954e-13,False,True
weak-1e-4,guarded,first-stage-float32,narrower-float32,7.731966945252947e-10,2.7061918261850337e-09,False,True
weak-1e-4,guarded,first-stage-float32,wider-float32,7.770497254525924e-10,2.719677372198248e-09,False,True
weak-1e-4,guarded,first-stage-float32,mixed-float32,7.6899897882785e-10,2.691499800810959e-09,False,True
weak-1e-4,guarded,narrower-float32,wider-float32,1.1240274704090801e-10,3.6218683607813773e-10,False,True
weak-1e-4,guarded,narrower-float32,mixed-float32,7.825484687664214e-11,2.5215451948668033e-10,False,True
weak-1e-4,guarded,wider-float32,mixed-float32,1.906575939087541e-10,6.143413555648181e-10,False,True
weak-1e-4,guarded-log,first-stage-double,narrower-double,6.194278806357339e-14,2.0017321133991572e-13,False,True
weak-1e-4,guarded-log,first-stage-double,wider-double,1.752672081541053e-13,5.258016244624741e-13,False,True
weak-1e-4,guarded-log,first-stage-double,mixed-double,1.0945267680701354e-13,3.5271785492341223e-13,False,True
weak-1e-4,guarded-log,narrower-double,wider-double,2.0805579481469173e-13,6.24167384444263e-13,False,True
weak-1e-4,guarded-log,narrower-double,mixed-double,4.7509888743443096e-14,1.5309975509580909e-13,False,True
weak-1e-4,guarded-log,wider-double,mixed-double,2.0428103653096734e-13,6.128431095930864e-13,False,True
weak-1e-4,guarded-log,first-stage-float32,narrower-float32,8.675056964819629e-11,2.602492665815248e-10,False,True
weak-1e-4,guarded-log,first-stage-float32,wider-float32,8.66718181979003e-11,2.6001301112188457e-10,False,True
weak-1e-4,guarded-log,first-stage-float32,mixed-float32,9.058200533994684e-11,2.717435165777715e-10,False,True
weak-1e-4,guarded-log,narrower-float32,wider-float32,7.875145030282267e-14,2.362554596402333e-13,False,True
weak-1e-4,guarded-log,narrower-float32,mixed-float32,6.441514919530031e-12,2.075595251227469e-11,False,True
weak-1e-4,guarded-log,wider-float32,mixed-float32,6.412304564696562e-12,2.0661916622088938e-11,False,True
active-a,legacy,first-stage-double,narrower-double,8.902803744414076e-08,1.7026986087742557e-07,False,False
active-a,legacy,first-stage-double,wider-double,8.092065527032835e-08,2.0123307364894316e-07,False,False
active-a,legacy,first-stage-double,mixed-double,8.005224782435198e-08,1.9907352333259354e-07,False,False
active-a,legacy,narrower-double,wider-double,5.778984019022689e-08,9.197537031990777e-08,False,False
active-a,legacy,narrower-double,mixed-double,1.4492807617989489e-08,2.8803662455167967e-08,False,False
active-a,legacy,wider-double,mixed-double,4.463362368142592e-08,7.103659882545799e-08,False,False
active-a,legacy,first-stage-float32,narrower-float32,3.121649091037507e-08,7.755245834406566e-08,False,False
active-a,legacy,first-stage-float32,wider-float32,1.1630186553886306e-07,1.850990113405615e-07,False,False
active-a,legacy,first-stage-float32,mixed-float32,3.1202960469697655e-08,7.751885067186493e-08,False,False
active-a,legacy,narrower-float32,wider-float32,1.24617594836667e-07,1.98335021739382e-07,False,False
active-a,legacy,narrower-float32,mixed-float32,1.94200838496237e-08,3.090802791483327e-08,False,False
active-a,legacy,wider-float32,mixed-float32,1.0519751302998785e-07,1.6742699382454873e-07,False,False
active-a,guarded,first-stage-double,narrower-double,8.902803744414076e-08,1.7026986087742557e-07,False,False
active-a,guarded,first-stage-double,wider-double,8.092065527032835e-08,2.0123307364894316e-07,False,False
