dataset,variant,case,phase,seconds,process_peak_rss_bytes,included_in
heterogeneous-168,guarded-log,first-stage-float32,new endpoint audit,0,975765504,audit process
heterogeneous-168,guarded-log,first-stage-float32,high precision,0,,new endpoint audit
heterogeneous-168,guarded-log,narrower-float32,search,39.7016835,1206157312,fit total
heterogeneous-168,guarded-log,narrower-float32,endpoint_audit,27.247879417,1206157312,fit total
heterogeneous-168,guarded-log,narrower-float32,search reference,11.721790083999998,1206157312,search; RSS is search-process high-water mark
heterogeneous-168,guarded-log,narrower-float32,new endpoint audit,10.765723292,998047744,audit process
heterogeneous-168,guarded-log,narrower-float32,high precision,0,,new endpoint audit
heterogeneous-168,guarded-log,wider-float32,search,38.978474792,1206157312,fit total
heterogeneous-168,guarded-log,wider-float32,endpoint_audit,27.082235917,1206157312,fit total
heterogeneous-168,guarded-log,wider-float32,search reference,11.511932834,1206157312,search; RSS is search-process high-water mark
heterogeneous-168,guarded-log,wider-float32,new endpoint audit,11.118221042,998047744,audit process
heterogeneous-168,guarded-log,wider-float32,high precision,0,,new endpoint audit
heterogeneous-168,guarded-log,mixed-float32,search,37.346887417,1206157312,fit total
heterogeneous-168,guarded-log,mixed-float32,endpoint_audit,27.405935084,1206157312,fit total
heterogeneous-168,guarded-log,mixed-float32,search reference,9.854930042,1206157312,search; RSS is search-process high-water mark
heterogeneous-168,guarded-log,mixed-float32,new endpoint audit,11.28449825,998047744,audit process
heterogeneous-168,guarded-log,mixed-float32,high precision,0,,new endpoint audit
baseline,legacy,first-stage-double,search,0.084779958,1206157312,fit total
baseline,legacy,first-stage-double,endpoint_audit,0.061745583,1206157312,fit total
baseline,legacy,first-stage-double,search reference,0.038078456000000004,1206157312,search; RSS is search-process high-water mark
baseline,legacy,first-stage-double,new endpoint audit,20.054611709,134283264,audit process
baseline,legacy,first-stage-double,high precision,19.222211917,129974272,new endpoint audit
baseline,legacy,narrower-double,search,0.096375709,1206157312,fit total
baseline,legacy,narrower-double,endpoint_audit,0.056937042,1206157312,fit total
baseline,legacy,narrower-double,search reference,0.042844292,1206157312,search; RSS is search-process high-water mark
baseline,legacy,narrower-double,new endpoint audit,0.030364083,135004160,audit process
baseline,legacy,narrower-double,high precision,0,,new endpoint audit
baseline,legacy,wider-double,search,0.108973375,1206157312,fit total
baseline,legacy,wider-double,endpoint_audit,0.056773583,1206157312,fit total
baseline,legacy,wider-double,search reference,0.04806271000000001,1206157312,search; RSS is search-process high-water mark
baseline,legacy,wider-double,new endpoint audit,0.025054917,135004160,audit process
baseline,legacy,wider-double,high precision,0,,new endpoint audit
baseline,legacy,mixed-double,search,0.093463042,1206157312,fit total
baseline,legacy,mixed-double,endpoint_audit,0.057526542,1206157312,fit total
baseline,legacy,mixed-double,search reference,0.0414615,1206157312,search; RSS is search-process high-water mark
baseline,legacy,mixed-double,new endpoint audit,0.015292083,135004160,audit process
baseline,legacy,mixed-double,high precision,0,,new endpoint audit
baseline,legacy,first-stage-float32,search,0.079582625,1206157312,fit total
baseline,legacy,first-stage-float32,endpoint_audit,0.056629542,1206157312,fit total
baseline,legacy,first-stage-float32,search reference,0.035554167,1206157312,search; RSS is search-process high-water mark
baseline,legacy,first-stage-float32,new endpoint audit,20.191256458,135151616,audit process
baseline,legacy,first-stage-float32,high precision,19.36261975,135151616,new endpoint audit
baseline,legacy,narrower-float32,search,0.093361791,1206157312,fit total
baseline,legacy,narrower-float32,endpoint_audit,0.05839275,1206157312,fit total
baseline,legacy,narrower-float32,search reference,0.041497917999999995,1206157312,search; RSS is search-process high-water mark
baseline,legacy,narrower-float32,new endpoint audit,0.034650042,135004160,audit process
baseline,legacy,narrower-float32,high precision,0,,new endpoint audit
baseline,legacy,wider-float32,search,0.107098959,1206157312,fit total
baseline,legacy,wider-float32,endpoint_audit,0.056311125,1206157312,fit total
baseline,legacy,wider-float32,search reference,0.047120959,1206157312,search; RSS is search-process high-water mark
baseline,legacy,wider-float32,new endpoint audit,0.028400542,135004160,audit process
baseline,legacy,wider-float32,high precision,0,,new endpoint audit
baseline,legacy,mixed-float32,search,0.093420416,1206157312,fit total
baseline,legacy,mixed-float32,endpoint_audit,0.056139834,1206157312,fit total
baseline,legacy,mixed-float32,search reference,0.041505,1206157312,search; RSS is search-process high-water mark
baseline,legacy,mixed-float32,new endpoint audit,0.0426385,135004160,audit process
baseline,legacy,mixed-float32,high precision,0,,new endpoint audit
baseline,guarded,first-stage-double,search,0.080894125,1206157312,fit total
baseline,guarded,first-stage-double,endpoint_audit,0.05565225,1206157312,fit total
baseline,guarded,first-stage-double,search reference,0.036921709,1206157312,search; RSS is search-process high-water mark
baseline,guarded,first-stage-double,new endpoint audit,0,134283264,audit process
baseline,guarded,first-stage-double,high precision,0,129974272,new endpoint audit
baseline,guarded,narrower-double,search,0.0935675,1206157312,fit total
baseline,guarded,narrower-double,endpoint_audit,0.058418625,1206157312,fit total
baseline,guarded,narrower-double,search reference,0.041841707,1206157312,search; RSS is search-process high-water mark
baseline,guarded,narrower-double,new endpoint audit,0,135004160,audit process
baseline,guarded,narrower-double,high precision,0,,new endpoint audit
baseline,guarded,wider-double,search,0.107757,1206157312,fit total
baseline,guarded,wider-double,endpoint_audit,0.055790584,1206157312,fit total
baseline,guarded,wider-double,search reference,0.04768162499999999,1206157312,search; RSS is search-process high-water mark
baseline,guarded,wider-double,new endpoint audit,0,135004160,audit process
baseline,guarded,wider-double,high precision,0,,new endpoint audit
baseline,guarded,mixed-double,search,0.092047791,1206157312,fit total
baseline,guarded,mixed-double,endpoint_audit,0.055903958,1206157312,fit total
baseline,guarded,mixed-double,search reference,0.040753249,1206157312,search; RSS is search-process high-water mark
baseline,guarded,mixed-double,new endpoint audit,0,135004160,audit process
baseline,guarded,mixed-double,high precision,0,,new endpoint audit
baseline,guarded,first-stage-float32,search,0.07880925,1206157312,fit total
baseline,guarded,first-stage-float32,endpoint_audit,0.056106042,1206157312,fit total
baseline,guarded,first-stage-float32,search reference,0.035389083,1206157312,search; RSS is search-process high-water mark
baseline,guarded,first-stage-float32,new endpoint audit,0,135151616,audit process
baseline,guarded,first-stage-float32,high precision,0,135151616,new endpoint audit
baseline,guarded,narrower-float32,search,0.094521875,1206157312,fit total
baseline,guarded,narrower-float32,endpoint_audit,0.056272958,1206157312,fit total
baseline,guarded,narrower-float32,search reference,0.042428456999999996,1206157312,search; RSS is search-process high-water mark
baseline,guarded,narrower-float32,new endpoint audit,0,135004160,audit process
baseline,guarded,narrower-float32,high precision,0,,new endpoint audit
baseline,guarded,wider-float32,search,0.107315792,1206157312,fit total
baseline,guarded,wider-float32,endpoint_audit,0.055335833,1206157312,fit total
baseline,guarded,wider-float32,search reference,0.046815582999999994,1206157312,search; RSS is search-process high-water mark
baseline,guarded,wider-float32,new endpoint audit,0,135004160,audit process
baseline,guarded,wider-float32,high precision,0,,new endpoint audit
