source,atom,precision_agreement,steps,valid_constrained_profiles,smallest_step_prediction_slope,first_order_prediction_norm,near_zero_rows,near_zero_first_order_max
datasets/active-a/guarded-log/audits/first-stage-float32-boundary.json,6,True,21,21,1.0002718955700485,7.98627007107567700498130221577347333087776819055280810105272487013225437946797164011876016350701563105315617934097948469182170000e-04,1,3.40401181190340973411104343885403258797327033079185347228045383877210731360949952872387258518939034771351366923713695832613030000e-04
datasets/active-a/guarded-log/audits/first-stage-float32-boundary.json,10,True,21,21,1.180039798727691,1.12421942909471734052218777788678060219124628028392568790783167569974422783291998053901380201122257053813410667984548126934000000e-06,1,3.43021195287224745742963959131778757754411545367107510032411398200432820185346785025786576462694397802657978416715528185210000000e-07
datasets/active-a/guarded-log/audits/mixed-double-boundary.json,2,True,21,21,1.8773219968947772,3.46387509764327800564428625718440830947850573805870005979162764117131203697778111138062753937151387785271915841300303875400000000e-08,1,1.23785137340956439371921118816773482840734988513971970907209993952631400315688931178347678674215834031778973543466594054400000000e-08
datasets/active-a/guarded-log/audits/mixed-double-boundary.json,6,True,21,21,1.7137018090750027,9.24067869997515423570992709999452544938941110937357908942297979949805361321174720591714488059984838229913981639327934601800000000e-08,1,3.94036286404697580448913454373846335760608221071542243914252298150616911842510019917642624990986015649313559941354267996300000000e-08
datasets/active-a/guarded-log/audits/mixed-double-boundary.json,10,True,21,21,1.8002667574316413,6.47394595308799799790517170217156980211690782467872347113228765715223326288422962621248516667299933819854259732462967245200000000e-08,1,1.97532767992206309336472346557763151586855970848149855315449810575029016279854289058091575979776415660467357563791370055200000000e-08
datasets/active-a/guarded-log/audits/mixed-float32-boundary.json,2,True,21,21,1.0002297600593932,1.00243491006716234890841420092207067577124782019418687995637755946035506286943510038656973959632597832260060824133393904328506000e-03,1,3.58049579345483978228892961170615201941519481132380328940739668729757592868087949757644509340909362799085944907556189827201000000e-04
datasets/active-a/guarded-log/audits/mixed-float32-boundary.json,6,True,21,21,1.0002718902730907,7.98642568276748316112418524773371297839195404372577932929896533641486228441304103464033026699398759451205497035936690792469510000e-04,1,3.40407811044214536145968934287161754462520521121063008722459370352789071588764189001728373925394481696607945555360453978869780000e-04
datasets/active-a/guarded-log/audits/mixed-float32-boundary.json,10,True,21,21,1.4370149464017814,3.24658203618834340899589017380567169427775898541905712315714059009030817269208774299185421640743294884842392489784324462210000000e-07,1,9.90595650161153274611599994048909165410313408181938670948909085812928543484964501275187628050438928772926973618541784247100000000e-08
datasets/active-a/guarded-log/audits/narrower-double-boundary.json,2,True,21,21,1.3872201504483903,3.76879753764082857754601260911619231593268935522415413971413855334415865409717448239150423453289195400139312230979885590370000000e-07,1,1.34681830957323093893222057358294895119271545581100924071749097824599324164567918673235173106836934112338506347743854242510000000e-07
datasets/active-a/guarded-log/audits/narrower-double-boundary.json,6,True,21,21,1.3411650168193594,4.32030337362289899384039757058119250199936750470676864584024172453521964353320058189414120791692561649832907643164766871020000000e-07,1,1.84224129396693601164752055161510147589113483749893179645761266308858685356081678323141512703708659539679669814684526681060000000e-07
datasets/active-a/guarded-log/audits/narrower-double-boundary.json,10,True,21,21,1.5873248041721144,1.79156648491285545082439469812076963974567216813273573858442542396976049180709187186254908480392394055242699067444185576440000000e-07,1,5.46641986225800809907208073353109478430323393542745360386626992177241829131156266404983236016139908367026989591914449861700000000e-08
datasets/active-a/guarded-log/audits/narrower-float32-boundary.json,2,True,21,21,1.0002297617552691,1.00242751037164424864469639653041453883208346174998815939213778431614507314671952399224084268948000820466332533697869075616104000e-03,1,3.58046937657358589888466756091824236752580687228841719093965013634044869639031396202193647964997635983309566760476085397707510000e-04
datasets/active-a/guarded-log/audits/narrower-float32-boundary.json,6,True,21,21,1.0002719037173875,7.98603073396360117159460875448437770934315783922056717338937420209721685779153314865672335611893373718039164237984330622101840000e-04,1,3.40390984205197341527621779079297892506750595442735705517243011263475722332267542296075758512885646554662038835872920023961800000e-04
datasets/active-a/guarded-log/audits/narrower-float32-boundary.json,10,True,21,21,1.5131967200171124,2.40473119982138789386395487160747178071030334461643496994506849734499807912878052835684551824680209280103212018243489307550000000e-07,1,7.33730531265889175212373046956145320825089704981628402166626745195575545865961313854951388812872976963500802985090504640800000000e-08
datasets/active-a/guarded-log/audits/wider-double-boundary.json,2,True,21,21,1.6456609197287009,1.33361361582004095091357514777728107261888562667965618459099899019826954053298410179132259046739999340565519148728059441700000000e-07,1,4.76580510927417932507026264572380239975040622617040251939551846734410812598987392046649764912880538105021754013575110566700000000e-08
datasets/active-a/guarded-log/audits/wider-double-boundary.json,6,True,21,21,1.3630995483759403,3.93099109615737446305098394138851804680941658841243471753768747705179751908487986349678683377622440637825074273484792120810000000e-07,1,1.67623281235897097993581723182413387885493259145095815438026938440382182319284527034358514417616745677291499064259881805210000000e-07
datasets/active-a/guarded-log/audits/wider-double-boundary.json,10,True,21,21,1.3941878610910847,3.86017663003341097600176996320373031403644797981063380917031301358651670295689495362264443688121498811821165854258620096910000000e-07,1,1.17781529702569422557253765858481201230898431382359123786181941112060911080212303843042716069097921386124255453654680031720000000e-07
datasets/active-a/guarded-log/audits/wider-float32-boundary.json,2,True,21,21,1.0002297572764751,1.00244705314069878100366072719133448519431201921395358592752194157507943802449407724602490860739135206799512744998665697937457000e-03,1,3.58053914417728222469309260383306940267399979827689862765363081495445536304457003193977035069376270124401421451913153040852960000e-04
datasets/active-a/guarded-log/audits/wider-float32-boundary.json,6,True,21,21,1.0002718576950993,7.98738287799233004802789184930127446859223960314046583613526206681041019972208937248219741164987764766493933506939306835488260000e-04,1,3.40448592453403035950392225437764982882328415960623255023526857283525064714475204841067801309346238293501028086134366370314010000e-04
datasets/active-a/guarded-log/audits/wider-float32-boundary.json,10,True,21,21,1.3317665160954508,5.03416442280715623268012748283045551739570182725926924190830572822411573328415916159041847624506287481102446813467691958520000000e-07,1,1.53602185243466005747356837050668702943993286587752695823070058408709808282345411885788214258732767662618905993105447315520000000e-07
datasets/active-a/legacy/audits/first-stage-double-boundary.json,2,True,21,21,1.8103241164193329,5.76496402121466099126360472338168261526899209620948382317715171749650801684136004617050914273017042462419886690113112801500000000e-08,1,2.06016913064574908371857007165972622563866489490231868696592829029882277602103920559358301596082599013331117839758034999000000000e-08
