state_id,alpha,parameter,mode,qualified,below_0_01,n,bias,rmse,p99,max,total,missing,complete_population
baseline-recovery-32,0.1,B,input,,168,168,9.96055067314068e-05,0.0003642128049235603,0.0013693949312192366,0.0017681692610282962,168,0,True
baseline-recovery-32,0.1,B,joint,True,168,168,9.96055067314068e-05,0.0003642128049235603,0.0013693949312192366,0.0017681692610282962,168,0,True
baseline-recovery-32,0.1,C,input,,168,168,-0.00014241448986427964,0.00200409115575487,0.0068332168200465615,0.006848880696822657,168,0,True
baseline-recovery-32,0.1,C,joint,True,168,168,-9.100186981406278e-05,0.0004931135276838158,0.0012655051912224824,0.0014518739429616456,168,0,True
baseline-recovery-32,0.5,A,input,,114,168,0.001959360623826723,0.011436301698015364,0.03478820518805392,0.03963725086954106,168,0,True
baseline-recovery-32,0.5,A,joint,False,159,168,-0.0008423283032633304,0.006622071255851403,0.027988184739601074,0.0611384339423644,168,0,True
baseline-recovery-32,0.5,B,input,,168,168,9.96055067314068e-05,0.0003642128049235603,0.0013693949312192366,0.0017681692610282962,168,0,True
baseline-recovery-32,0.5,B,joint,False,168,168,9.96055067314068e-05,0.0003642128049235603,0.0013693949312192366,0.0017681692610282962,168,0,True
baseline-recovery-32,0.5,C,input,,168,168,-0.00014241448986427964,0.00200409115575487,0.0068332168200465615,0.006848880696822657,168,0,True
baseline-recovery-32,0.5,C,joint,False,168,168,-3.927443814830874e-05,0.00018288975751425696,0.00043988807500827676,0.0005167402707281776,168,0,True
baseline-recovery-32,1,A,input,,114,168,0.001959360623826723,0.011436301698015364,0.03478820518805392,0.03963725086954106,168,0,True
baseline-recovery-32,1,A,joint,False,146,168,-0.0012641583599596752,0.007716250568077319,0.028930746323594825,0.04458042968017217,168,0,True
baseline-recovery-32,1,B,input,,168,168,9.96055067314068e-05,0.0003642128049235603,0.0013693949312192366,0.0017681692610282962,168,0,True
baseline-recovery-32,1,B,joint,False,168,168,9.96055067314068e-05,0.0003642128049235603,0.0013693949312192366,0.0017681692610282962,168,0,True
baseline-recovery-32,1,C,input,,168,168,-0.00014241448986427964,0.00200409115575487,0.0068332168200465615,0.006848880696822657,168,0,True
baseline-recovery-32,1,C,joint,False,168,168,-2.5528853687252166e-05,0.00011405706001605535,0.00025734021127563067,0.0002931500795361197,168,0,True
failed-only-best-6,0,A,input,,115,168,0.0017060635621743664,0.01052019788645462,0.03164263568920411,0.03635661721790573,168,0,True
failed-only-best-6,0,A,joint,True,118,168,0.003012262704123665,0.01070529557085078,0.03759992852612726,0.05210207932359889,168,0,True
failed-only-best-6,0,B,input,,168,168,9.265320759510389e-05,0.00034042451038972243,0.001257700798081185,0.00169004246479465,168,0,True
failed-only-best-6,0,B,joint,True,168,168,9.265320759510389e-05,0.00034042451038972243,0.001257700798081185,0.00169004246479465,168,0,True
failed-only-best-6,0,C,input,,168,168,-0.00013178853152394916,0.0018995365623237688,0.006354148647647384,0.006492505830467787,168,0,True
failed-only-best-6,0,C,joint,True,168,168,-0.00011180361349760818,0.0005924308603102936,0.001929224450423206,0.0020356527404866154,168,0,True
