state_id,alpha,serial_id,qualified,A,truth_A,input_A,error_A,B,truth_B,input_B,error_B,C,truth_C,input_C,error_C
baseline-best-28,0,25,True,5.9978195703002894,6.0,5.996403339237467,-0.002180429699710551,0.4999592661253823,0.5,0.4999592661253823,-4.0733874617726595e-05,-0.18977427704788002,-0.19,-0.18844604434511802,0.00022572295211997773
baseline-best-28,0,26,True,6.000695172972666,6.0,5.998177579791406,0.0006951729726658584,0.5000659013079534,0.5,0.5000659013079534,6.590130795336435e-05,0.1161977981427229,0.116,0.11655186642593443,0.0001977981427228881
baseline-best-28,0,27,True,6.992291707383916,7.0,6.998492121508055,-0.0077082926160843,0.4997391052449655,0.5,0.4997391052449655,-0.0002608947550344909,-0.6041686387464126,-0.604,-0.6067719196971818,-0.00016863874641259713
baseline-best-28,0,28,True,5.998009525944812,6.0,5.994366702985237,-0.0019904740551881517,0.49995962767229685,0.5,0.49995962767229685,-4.037232770315313e-05,0.9019615605137044,0.901,0.9060425462350856,0.0009615605137043293
baseline-best-28,0,29,True,6.999381337380919,7.0,6.999038443909977,-0.0006186626190807232,0.49997316485383286,0.5,0.49997316485383286,-2.683514616713678e-05,-0.9084111051667281,-0.908,-0.9100635519892915,-0.000411105166728043
baseline-best-28,0,30,True,6.997317327509916,7.0,6.997063842524171,-0.002682672490084137,0.4999150005696409,0.5,0.4999150005696409,-8.499943035911173e-05,-0.9061797929506811,-0.906,-0.9077286175964042,-0.00017979295068104584
baseline-best-28,0,31,True,7.007397765519507,7.0,7.013791787974003,0.007397765519507438,0.5002289555520358,0.5,0.5002289555520358,0.00022895555203583662,-0.5836986156490128,-0.584,-0.5854998332693226,0.0003013843509871439
baseline-best-28,0,32,True,5.980207875714665,6.0,5.985190090244748,-0.019792124285334722,0.4992870702126263,0.5,0.4992870702126263,-0.0007129297873736951,0.23441942393070878,0.235,0.2318167778585097,-0.000580576069291211
baseline-best-28,0,33,True,6.014492655226107,6.0,6.008587026641086,0.014492655226106876,0.500516819374485,0.5,0.500516819374485,0.0005168193744850003,0.5637768663572347,0.563,0.5679129060187781,0.000776866357234729
baseline-best-28,0,34,True,7.997475688476041,8.0,8.000080226487242,-0.002524311523958822,0.499969605138637,0.5,0.499969605138637,-3.0394861363025605e-05,-0.663457109773794,-0.663,-0.6656972664294503,-0.00045710977379398443
baseline-best-28,0,35,True,5.999123179474458,6.0,6.006368341157411,-0.0008768205255416106,0.49998962742125325,0.5,0.49998962742125325,-1.0372578746753458e-05,-0.1524796241072508,-0.153,-0.15139911485230276,0.0005203758927491975
baseline-best-28,0,36,True,6.000808137947693,6.0,6.00249832562085,0.0008081379476934103,0.500069499101267,0.5,0.500069499101267,6.949910126696768e-05,0.02232891341251214,0.022,0.020920799160572483,0.0003289134125121426
baseline-best-28,0,37,True,7.000232255162825,7.0,6.998678845834407,0.0002322551628246572,0.5000251127893708,0.5,0.5000251127893708,2.511278937078476e-05,-0.29601071584120436,-0.296,-0.2957493317525387,-1.0715841204378407e-05
baseline-best-28,0,38,True,5.999908366177363,6.0,5.997468598972132,-9.1633822637327e-05,0.499955171585956,0.5,0.499955171585956,-4.482841404401805e-05,-0.18261092712628985,-0.182,-0.18107762754561377,-0.0006109271262898508
baseline-best-28,0,39,True,6.0038972644934105,6.0,6.003989059280588,0.003897264493410546,0.5001115376491027,0.5,0.5001115376491027,0.0001115376491026554,-0.012495081169256895,-0.012,-0.012250264344253203,-0.0004950811692568946
baseline-best-28,0,40,True,6.999796255862104,7.0,6.999599753182412,-0.00020374413789614465,0.500005594413528,0.5,0.500005594413528,5.594413527987285e-06,-0.22449105686607773,-0.225,-0.22528436443186148,0.0005089431339222739
baseline-best-28,0,41,True,6.999581555701677,7.0,6.992896301282652,-0.0004184442983232728,0.4999813251024,0.5,0.4999813251024,-1.8674897599990636e-05,-0.5681617988622613,-0.568,-0.5679168796323183,-0.00016179886226130868
baseline-best-28,0,42,True,5.985736502873951,6.0,5.991758248235055,-0.014263497126049351,0.4994900919527605,0.5,0.4994900919527605,-0.0005099080472394935,0.24572848351430576,0.246,0.2451278981180185,-0.00027151648569423426
baseline-best-28,0,43,True,6.025390481560446,6.0,6.030520914784274,0.025390481560446432,0.5007992968849472,0.5,0.5007992968849472,0.000799296884947176,0.570186704517897,0.57,0.5694550218062292,0.00018670451789704057
baseline-best-28,0,44,True,7.9873506689779825,8.0,7.987184960882033,-0.012649331022017485,0.4997397982690011,0.5,0.4997397982690011,-0.000260201730998888,-0.672244250763074,-0.673,-0.6721574523114605,0.0007557492369260066
baseline-best-28,0,45,True,6.014616785832897,6.0,6.018694027213548,0.014616785832896717,0.5005321311504219,0.5,0.5005321311504219,0.0005321311504219439,-0.2759606807136097,-0.276,-0.27754199694820614,3.931928639033799e-05
baseline-best-28,0,46,True,5.998878012946874,6.0,5.992026822245847,-0.001121987053125828,0.4999689991382605,0.5,0.4999689991382605,-3.100086173951633e-05,0.7033750570430803,0.704,0.706876456441694,-0.0006249429569196163
baseline-best-28,0,47,True,8.003695326226318,8.0,8.00541426366614,0.003695326226317519,0.5001024221917544,0.5,0.5001024221917544,0.00010242219175438105,-0.7707682929190193,-0.771,-0.7723108319880831,0.00023170708098074755
baseline-best-28,0,48,True,8.00495471524051,8.0,8.007099402144135,0.004954715240510055,0.5001078722184451,0.5,0.5001078722184451,0.0001078722184451042,-0.7611008900538244,-0.761,-0.7629380404923896,-0.00010089005382440952
baseline-best-28,0,49,True,7.015097765301971,7.0,7.016539415255735,0.015097765301971044,0.5005167940572542,0.5,0.5005167940572542,0.000516794057254244,-0.5765968995565613,-0.575,-0.5774173613034627,-0.001596899556561393
baseline-best-28,0,50,True,6.037171733026023,6.0,6.004812098828647,0.037171733026022835,0.501152667373224,0.5,0.501152667373224,0.0011526673732239479,0.23280612477471996,0.234,0.23480139990595308,-0.0011938752252800555
baseline-best-28,0,51,True,6.022312216259639,6.0,6.0120219434368165,0.022312216259638973,0.5006394809740775,0.5,0.5006394809740775,0.0006394809740775109,0.565985000930449,0.568,0.5683236692747908,-0.002014999069550938
baseline-best-28,0,52,True,7.999965806783079,8.0,8.004840320144472,-3.419321692099686e-05,0.4999848502251321,0.5,0.4999848502251321,-1.5149774867884158e-05,-0.6803467091275852,-0.681,-0.6827206838283194,0.0006532908724148356
baseline-best-28,0,53,True,5.9908253853421165,6.0,5.987480554609047,-0.009174614657883495,0.4996364390177179,0.5,0.4996364390177179,-0.000363560982282074,-0.20654115096403816,-0.207,-0.20632812027195213,0.000458849035961828
baseline-best-28,0,54,True,6.009306505963691,6.0,6.0029672679037445,0.00930650596369098,0.500381487102936,0.5,0.500381487102936,0.00038148710293595123,-0.22230830793380885,-0.223,-0.2233134552370602,0.0006916920661911574
baseline-best-28,0,55,True,6.0040933582405,6.0,5.995312646979002,0.004093358240499612,0.5001400703077873,0.5,0.5001400703077873,0.0001400703077872878,0.6917438355671861,0.693,0.6964611381390307,-0.0012561644328138444
baseline-best-28,0,56,True,8.014834410026921,8.0,8.02151796449982,0.014834410026921319,0.5003822043437851,0.5,0.5003822043437851,0.0003822043437851086,-0.772442982123649,-0.772,-0.7757316681821992,-0.0004429821236490161
baseline-best-28,0,57,True,8.010598324112351,8.0,8.008651024461109,0.010598324112351065,0.5002513631826374,0.5,0.5002513631826374,0.00025136318263740964,-0.7642439255445154,-0.764,-0.7655653240974853,-0.00024392554451535542
baseline-best-28,0,58,True,7.017639847618862,7.0,7.01074858969169,0.01763984761886217,0.5005724111359536,0.5,0.5005724111359536,0.0005724111359536321,-0.5851751498196097,-0.585,-0.5864639607948946,-0.0001751498196097545
baseline-best-28,0,59,True,5.982648339646575,6.0,5.976233357182562,-0.017351660353424947,0.4994286333869888,0.5,0.4994286333869888,-0.0005713666130112149,0.23815897614775008,0.238,0.2396253684077846,0.00015897614775009505
baseline-best-28,0,60,True,6.005382505375638,6.0,5.992213027677664,0.005382505375638225,0.5001836481351839,0.5,0.5001836481351839,0.00018364813518390033,0.5621609739923178,0.561,0.5678492784755527,0.0011609739923177376
baseline-best-28,0,61,True,7.993439154963957,8.0,7.991544717741476,-0.006560845036043261,0.4998217501414568,0.5,0.4998217501414568,-0.0001782498585432002,-0.652052533351391,-0.652,-0.6542626376661337,-5.253335139099313e-05
baseline-best-28,0,62,True,5.996557583517679,6.0,5.999342562055407,-0.003442416482321242,0.49989019214203334,0.5,0.49989019214203334,-0.00010980785796665948,-0.213700544369637,-0.214,-0.2145476498958849,0.00029945563036298806
baseline-best-28,0,63,True,6.0015125401826035,6.0,6.000311078920342,0.0015125401826034945,0.5000738362819821,0.5,0.5000738362819821,7.383628198209813e-05,-0.16392978870548303,-0.164,-0.1637804481628043,7.021129451698083e-05
baseline-best-28,0,64,True,6.00152164701282,6.0,5.9958007887745985,0.001521647012819649,0.5000308111552993,0.5,0.5000308111552993,3.0811155299348414e-05,-0.19135946322485392,-0.191,-0.19013597953596206,-0.0003594632248539176
baseline-best-28,0,65,True,6.001658132947699,6.0,6.001302370113633,0.0016581329476990092,0.5000536439409234,0.5,0.5000536439409234,5.364394092344238e-05,0.037011216814084924,0.037,0.036261745381191035,1.1216814084925864e-05
baseline-best-28,0,66,True,6.997130059863859,7.0,6.996389046442343,-0.002869940136140947,0.49992418475301253,0.5,0.49992418475301253,-7.581524698746511e-05,-0.39778093567374595,-0.398,-0.39739852758845357,0.00021906432625407035
baseline-best-28,0,67,True,7.00974599985051,7.0,7.00890571837519,0.009745999850509612,0.5002845824959202,0.5,0.5002845824959202,0.000284582495920227,-0.5802449400738771,-0.579,-0.5858335584577126,-0.0012449400738770988
baseline-best-28,0,68,True,6.054474143327969,6.0,6.034792240570639,0.05447414332796896,0.5017682694716892,0.5,0.5017682694716892,0.0017682694716891767,0.191377593157414,0.193,0.1943543736193163,-0.0016224068425859939
baseline-best-28,0,69,True,6.005797006120281,6.0,6.000885598586931,0.005797006120280557,0.5000653747902271,0.5,0.5000653747902271,6.537479022705739e-05,0.5651905812297547,0.567,0.5678154203112241,-0.001809418770245208
baseline-best-28,0,70,True,7.993749094977481,8.0,7.9992099232642815,-0.006250905022518793,0.4997947211807296,0.5,0.4997947211807296,-0.0002052788192704047,-0.6695544855538469,-0.671,-0.6735074613269884,0.001445514446153151
baseline-best-28,0,71,True,6.01390528169691,6.0,6.00743764143059,0.013905281696909633,0.5003371803080172,0.5,0.5003371803080172,0.0003371803080172153,0.07756698241007622,0.079,0.0772368487153601,-0.0014330175899237851
baseline-best-28,0,72,True,7.99503560148483,8.0,7.991388003224491,-0.004964398515170387,0.49989910775253693,0.5,0.49989910775253693,-0.00010089224746306913,-0.4877934654888232,-0.489,-0.4871785880602163,0.0012065345111768044
baseline-best-28,0,73,True,7.0185322564137005,7.0,7.01582143444077,0.018532256413700487,0.5006095677277261,0.5,0.5006095677277261,0.0006095677277261347,-0.5727777711598738,-0.573,-0.5736822728696098,0.00022222884012612631
baseline-best-28,0,74,True,6.012703135714452,6.0,6.02203768104662,0.012703135714452252,0.5004078529717829,0.5,0.5004078529717829,0.00040785297178291824,0.16821954102243228,0.169,0.16599491890595575,-0.0007804589775677329
baseline-best-28,0,75,True,5.9939720757607615,6.0,5.992724803933239,-0.00602792423923848,0.4997422674384807,0.5,0.4997422674384807,-0.00025773256151928603,0.5648457513899926,0.565,0.5688218588099397,-0.0001542486100073459
baseline-best-28,0,76,True,7.995080690579017,8.0,7.999248951758943,-0.004919309420983176,0.49987009501611224,0.5,0.49987009501611224,-0.00012990498388776306,-0.6582727814877233,-0.659,-0.660440189914862,0.0007272185122767505
baseline-best-28,0,77,True,6.012765423011568,6.0,6.0111454856289,0.012765423011567911,0.5003422700937067,0.5,0.5003422700937067,0.00034227009370668693,0.23104044395223147,0.232,0.23258819692691582,-0.0009595560477685394
baseline-best-28,0,78,True,7.989874725064026,8.0,7.993570124715773,-0.010125274935973927,0.49968768839088484,0.5,0.49968768839088484,-0.00031231160911515676,-0.4934369998035314,-0.494,-0.4944323055436806,0.0005630001964685993
baseline-best-28,0,79,True,6.0060508098074115,6.0,6.005774613214969,0.006050809807411461,0.5002401012531345,0.5,0.5002401012531345,0.0002401012531344504,-0.4129460475604639,-0.413,-0.4131831975008122,5.395243953609796e-05
baseline-best-28,0,80,True,7.000312209427415,7.0,7.014136777717684,0.00031220942741505553,0.5000081954324955,0.5,0.5000081954324955,8.19543249552801e-06,-0.5859293081544615,-0.586,-0.5882618734715712,7.069184553842867e-05
baseline-best-28,0,81,True,6.003386555862014,6.0,5.99820322496959,0.0033865558620140845,0.5001148412072084,0.5,0.5001148412072084,0.00011484120720839375,0.23526539485436623,0.235,0.23492978192605032,0.00026539485436624655
baseline-best-28,0,82,True,5.982825678605108,6.0,5.973330373712872,-0.017174321394891834,0.49946250291478883,0.5,0.49946250291478883,-0.0005374970852111693,0.5603848342319664,0.561,0.56313597321561,-0.0006151657680336653
baseline-best-28,0,83,True,7.998596559071255,8.0,8.000097594732662,-0.0014034409287448923,0.499953973262127,0.5,0.499953973262127,-4.6026737873017254e-05,-0.6610770632508213,-0.662,-0.6624572388162333,0.0009229367491787599
baseline-best-28,0,84,True,5.98964618148645,6.0,5.972754813539874,-0.010353818513549662,0.49963102318200475,0.5,0.49963102318200475,-0.00036897681799524795,-0.147763232938502,-0.148,-0.1457479517265399,0.00023676706149799998
baseline-best-28,0,85,True,6.005758260173207,6.0,6.0044097538390675,0.005758260173206686,0.5002008852619608,0.5,0.5002008852619608,0.0002008852619608259,-0.04378469481018592,-0.044,-0.04487043771889595,0.0002153051898140801
baseline-best-28,0,86,True,5.996218320713562,6.0,5.9965399641494255,-0.0037816792864378,0.4998511183210808,0.5,0.4998511183210808,-0.00014888167891918824,-0.18223137336001669,-0.182,-0.1808070026560906,-0.00023137336001669007
baseline-best-28,0,87,True,6.005586251357623,6.0,6.0075123463845035,0.005586251357622807,0.5002098818076552,0.5,0.5002098818076552,0.00020988180765524334,-0.18252802953510125,-0.182,-0.18236258998755903,-0.0005280295351012543
baseline-best-28,0,88,True,6.012761478338052,6.0,6.012497554914271,0.012761478338052079,0.5004543365886172,0.5,0.5004543365886172,0.00045433658861715465,-0.33418211797400815,-0.334,-0.33644113007892945,-0.00018211797400813357
baseline-best-28,0,89,True,6.005710563491424,6.0,6.008750581802971,0.005710563491423848,0.5001861147605595,0.5,0.5001861147605595,0.00018611476055951925,-0.3449671417697412,-0.345,-0.3466544046578356,3.2858230258780985e-05
baseline-best-28,0,90,True,6.005145824599383,6.0,6.000726533106456,0.005145824599383175,0.500159119675947,0.5,0.500159119675947,0.00015911967594695042,0.402359153574427,0.403,0.40548405024301304,-0.0006408464255730495
baseline-best-28,0,91,True,8.007420169069876,8.0,8.008571765750078,0.007420169069876081,0.5001902823577349,0.5,0.5001902823577349,0.00019028235773488333,-0.5682094421312331,-0.568,-0.569228348964314,-0.0002094421312331951
baseline-best-28,0,92,True,7.016561139805916,7.0,7.023934272085543,0.01656113980591556,0.5005299540559908,0.5,0.5005299540559908,0.0005299540559907667,-0.5889430186373646,-0.589,-0.5895621779636577,5.6981362635322164e-05
baseline-best-28,0,93,True,5.993975165750599,6.0,5.987611418590984,-0.006024834249401145,0.499797480357426,0.5,0.499797480357426,-0.00020251964257400612,0.2325271069104732,0.233,0.23127195634299033,-0.00047289308952680464
baseline-best-28,0,94,True,5.990301857513928,6.0,5.987157004418106,-0.009698142486072037,0.4996470412914352,0.5,0.4996470412914352,-0.00035295870856477674,0.5654248489451004,0.565,0.5686098148651798,0.00042484894510042004
baseline-best-28,0,95,True,7.986492534247749,8.0,7.982664649915037,-0.013507465752250702,0.49968890482068407,0.5,0.49968890482068407,-0.00031109517931593444,-0.6676905019248186,-0.669,-0.6688297928734422,0.0013094980751814367
baseline-best-28,0,96,True,6.016347684552873,6.0,6.016687614076209,0.01634768455287272,0.5005582552937038,0.5,0.5005582552937038,0.000558255293703791,-0.1333461756955841,-0.133,-0.13232301404944263,-0.00034617569558409444
