dataset,case,required_regular,both_regular,available,passed,reason,scaled_ac_difference,scaled_b_difference,maximum_log_b_difference,normalized_prediction_inf_difference,normalized_objective_difference,numeric_passed
regular-three,narrower-double,True,True,True,True,regular-parity,2.9183005218718376e-15,7.930164461608261e-17,2.220446049250313e-16,6.218259725274212e-17,2.0465308691544617e-32,True
regular-three,wider-double,True,True,True,True,regular-parity,4.187126835729154e-15,7.930164461608261e-17,2.220446049250313e-16,8.291012967032283e-17,5.2050360812920146e-33,True
regular-three,mixed-double,True,True,True,True,regular-parity,3.8064789415719565e-15,7.930164461608261e-17,1.1102230246251565e-16,7.254636346153248e-17,2.2021442086114795e-32,True
regular-three,first-stage-float32,True,True,True,True,regular-parity,8.247370793082806e-15,6.661338079302367e-16,2.1094237467877974e-15,5.181883101655928e-17,2.0892305020412355e-25,True
regular-three,narrower-float32,True,True,True,True,regular-parity,1.4340380750325254e-15,7.930164463180126e-17,2.220446049250313e-16,5.181883101655928e-17,2.070717753872005e-25,True
regular-three,wider-float32,True,True,True,True,regular-parity,1.77635678620245e-15,7.656710516291057e-17,2.220446049250313e-16,6.218259721987114e-17,4.927396914913267e-26,True
regular-three,mixed-float32,True,True,True,True,regular-parity,2.4107700427085065e-15,2.220446026434122e-16,7.771561172376096e-16,6.218259721987114e-17,1.6993084933626565e-25,True
regular-two,first-stage-double,True,True,True,True,regular-parity,1.2451099341590514e-15,8.141635513917802e-16,2.55351295663786e-15,5.313885671312023e-17,1.1660354148479711e-32,True
regular-two,narrower-double,True,True,True,True,regular-parity,3.4825392046024927e-15,7.656710514656254e-17,3.3306690738754696e-16,4.317532107941019e-17,1.8612374939562643e-32,True
regular-two,wider-double,True,True,True,True,regular-parity,3.7574765102290035e-15,1.5860328923216522e-16,5.551115123125783e-16,5.978121380226026e-17,5.06731112278059e-33,True
regular-two,mixed-double,True,True,True,True,regular-parity,3.6527384890379515e-15,4.976861834526565e-16,1.5543122344752192e-15,4.6496499623980204e-17,5.5827740854783085e-33,True
regular-two,first-stage-float32,True,True,True,True,regular-parity,3.2943534232602487e-15,5.55111558718901e-16,1.6653345369377348e-15,3.9854142551825237e-17,5.201890318948642e-26,True
regular-two,narrower-float32,True,True,True,True,regular-parity,4.596374680757642e-14,9.290187354433638e-14,3.2507330161024584e-13,2.3414308749197327e-16,4.48621051023845e-26,True
regular-two,wider-float32,True,True,True,True,regular-parity,2.4124005382929368e-15,9.992008056940229e-16,2.9976021664879227e-15,3.9854142551825237e-17,8.306529361860999e-26,True
regular-two,mixed-float32,True,True,True,True,regular-parity,1.7120261884659574e-15,5.742533203145211e-16,1.887379141862766e-15,5.313885673576698e-17,9.813068182327571e-26,True
regular-weak,first-stage-double,False,False,True,True,nonregular-control,1.2688263138573216e-15,9.237821235933064e-14,2.9765079290200447e-13,4.6501008119828944e-17,1.0866655639488383e-32,True
regular-weak,narrower-double,False,False,True,True,nonregular-control,1.6494742080145174e-15,5.2106467289067537e-14,1.5631940186722204e-13,3.3215005799877816e-17,1.0126018651613835e-32,True
regular-weak,wider-double,False,False,True,True,nonregular-control,1.3957089452430533e-15,4.440892098500215e-14,1.354472090042691e-13,4.6501008119828944e-17,1.8424422606545216e-32,True
regular-weak,mixed-double,False,False,True,True,nonregular-control,3.694218194787467e-15,1.2094029481581425e-13,3.6282088444750116e-13,5.978701043978007e-17,1.2317439883651258e-32,True
regular-weak,first-stage-float32,False,False,True,True,nonregular-control,3.82376269557848e-12,7.594895966757004e-10,2.6582168688449315e-09,2.0444666429709308e-14,3.339132669671012e-26,True
regular-weak,narrower-float32,False,False,True,True,nonregular-control,1.3833409816745205e-15,5.913760224808373e-14,1.7741363933510002e-13,7.971601386020444e-17,3.0678069298744996e-27,True
regular-weak,wider-float32,False,False,True,True,nonregular-control,1.0150610535466237e-15,3.8850222052607363e-13,1.1654011089490268e-12,4.650100808511926e-17,1.9090770608745895e-26,True
