dataset,case,scope,atoms,rows,search_counter_scope,profile_evaluations,accepted_updates,search_reference_solves,endpoint_reference_solves,audit_reference_solves,post_search_trust_reference_solves,refreshed_assessment_reference_solves,precision_reference_pairs_requested,boundary_reference_pairs_requested,boundary_seconds,refreshed_assessment_seconds,search_seconds,search_reference_seconds_nested,endpoint_audit_seconds,audit_seconds,precision_seconds_nested,process_peak_rss_bytes
regular-zero,wider-float32,00:baseline:1,12,7451,this-search,8,7,8,13,1,1,13,0,0,0,0.087965625,0.150734583,0.07069691700000001,0.076885167,0.015011667,0,91652096
regular-zero,wider-float32,01:zero-signal:1,12,7451,this-search,27,16,27,13,103,1,13,0,0,0,0.087386875,0.460949833,0.23010679,0.086547875,1.199106625,0,91652096
regular-zero,mixed-float32,monolithic,24,14902,this-search,33,19,34,13,103,0,13,0,0,0,0.262557542,1.673288417,0.838373919,0.231080584,2.784766417,0,91701248
regular-zero,mixed-float32,assembled,24,14902,sum-of-components,37,24,38,13,103,0,13,0,0,0,0.239997625,0,0,0.237227458,2.659880583,0,88571904
regular-zero,mixed-float32,00:baseline:1,12,7451,this-search,7,5,7,13,1,1,13,0,0,0,0.085842625,0.130381417,0.045845167000000006,0.07992375,0.0152425,0,92389376
regular-zero,mixed-float32,01:zero-signal:1,12,7451,this-search,30,19,31,13,103,1,13,0,0,0,0.074758167,0.556778625,0.28780749899999997,0.081292917,1.176656208,0,92389376
weak-1e-2,first-stage-double,monolithic,12,7451,this-search,17,16,17,13,1,0,0,0,0,0,3.791e-06,0.313777,0.14711304,0.097915542,0.0209285,0,59342848
weak-1e-2,first-stage-double,assembled,12,7451,sum-of-components,17,16,17,13,1,0,0,0,0,0,1.458e-06,0,0,0.093800125,0.018683958,0,44433408
weak-1e-2,first-stage-double,1,12,7451,this-search,17,16,17,13,1,1,0,0,0,0,4e-06,0.322209375,0.135685416,0.06401775,0.013941333,0,59703296
weak-1e-2,narrower-double,monolithic,12,7451,this-search,8,7,8,13,1,0,0,0,0,0,3.584e-06,0.143004208,0.066954332,0.070970375,0.019510459,0,61718528
weak-1e-2,narrower-double,assembled,12,7451,sum-of-components,8,7,8,13,1,0,0,0,0,0,3.167e-06,0,0,0.09296075,0.018686209,0,42205184
weak-1e-2,narrower-double,1,12,7451,this-search,8,7,8,13,1,1,0,0,0,0,3.584e-06,0.149583125,0.075500541,0.068805416,0.058746125,0,61718528
weak-1e-2,wider-double,monolithic,12,7451,this-search,10,9,10,13,1,0,0,0,0,0,3.292e-06,0.186811542,0.07707420899999999,0.074489542,0.020799375,0,61734912
weak-1e-2,wider-double,assembled,12,7451,sum-of-components,10,9,10,13,1,0,0,0,0,0,3.25e-06,0,0,0.077304416,0.013940292,0,42909696
weak-1e-2,wider-double,1,12,7451,this-search,10,9,10,13,1,1,0,0,0,0,1.8958e-05,0.159905792,0.069176667,0.070704125,0.020125125,0,61734912
weak-1e-2,mixed-double,monolithic,12,7451,this-search,9,8,9,13,1,0,0,0,0,0,3.667e-06,0.14926975,0.056588833,0.0833435,0.015156667,0,62013440
weak-1e-2,mixed-double,assembled,12,7451,sum-of-components,9,8,9,13,1,0,0,0,0,0,6.75e-06,0,0,0.074793167,0.012737917,0,40009728
weak-1e-2,mixed-double,1,12,7451,this-search,9,8,9,13,1,1,0,0,0,0,3.875e-06,0.147017875,0.060854626999999994,0.07273975,0.0135855,0,62013440
weak-1e-2,first-stage-float32,monolithic,12,7451,this-search,17,15,17,13,1,0,0,0,0,0,5.208e-06,0.3243095,0.14798520899999998,0.083687541,0.019167666,0,62013440
weak-1e-2,first-stage-float32,assembled,12,7451,sum-of-components,17,15,17,13,1,0,0,0,0,0,3e-06,0,0,0.081829209,0.018113375,0,41074688
weak-1e-2,first-stage-float32,1,12,7451,this-search,17,15,17,13,1,1,0,0,0,0,3.542e-06,0.327736125,0.155189,0.077536666,0.029770541,0,62029824
weak-1e-2,narrower-float32,monolithic,12,7451,this-search,8,7,8,13,1,0,0,0,0,0,2.5e-06,0.1358975,0.060036291000000006,0.091377083,0.021705167,0,62062592
weak-1e-2,narrower-float32,assembled,12,7451,sum-of-components,8,7,8,13,1,0,0,0,0,0,4.291e-06,0,0,0.082329,0.014615084,0,41828352
weak-1e-2,narrower-float32,1,12,7451,this-search,8,7,8,13,1,1,0,0,0,0,6.375e-06,0.133254584,0.05293012500000001,0.068003,0.01850575,0,62062592
