dataset,case,scope,atoms,rows,search_counter_scope,profile_evaluations,accepted_updates,search_reference_solves,endpoint_reference_solves,audit_reference_solves,post_search_trust_reference_solves,refreshed_assessment_reference_solves,precision_reference_pairs_requested,boundary_reference_pairs_requested,boundary_seconds,refreshed_assessment_seconds,search_seconds,search_reference_seconds_nested,endpoint_audit_seconds,audit_seconds,precision_seconds_nested,process_peak_rss_bytes
regular-two,wider-double,monolithic,24,14902,this-search,10,9,10,13,1,0,13,0,0,0,0.218295792,0.565324083,0.224764083,0.21599275,0.04367175,0,96059392
regular-two,wider-double,assembled,24,14902,sum-of-components,18,15,18,13,1,0,13,0,0,0,0.215599708,0,0,0.217547875,0.054992833,0,75677696
regular-two,wider-double,00:baseline:1,12,7451,this-search,8,6,8,13,1,1,13,0,0,0,0.0703415,0.139413,0.065491252,0.074731708,0.018264708,0,96059392
regular-two,wider-double,01:weak-1e-2:1,12,7451,this-search,10,9,10,13,1,1,13,0,0,0,0.069110708,0.187399083,0.071079375,0.071901584,0.023492334,0,96059392
regular-two,mixed-double,monolithic,24,14902,this-search,9,8,9,13,1,0,13,0,0,0,0.189296916,0.464336458,0.199740751,0.211888792,0.040710583,0,96256000
regular-two,mixed-double,assembled,24,14902,sum-of-components,16,13,16,13,1,0,13,0,0,0,0.20553425,0,0,0.2181765,0.056635291,0,76300288
regular-two,mixed-double,00:baseline:1,12,7451,this-search,7,5,7,13,1,1,13,0,0,0,0.076359708,0.114949459,0.042289791,0.0673545,0.02041125,0,96256000
regular-two,mixed-double,01:weak-1e-2:1,12,7451,this-search,9,8,9,13,1,1,13,0,0,0,0.075531666,0.149852625,0.060863253000000006,0.073067458,0.0235285,0,96256000
regular-two,first-stage-float32,monolithic,24,14902,this-search,9,8,9,13,103,0,13,1,0,0,0.226133041,0.506213667,0.19960329300000001,0.215429375,46.92155775,44.398467791,214597632
regular-two,first-stage-float32,assembled,24,14902,sum-of-components,23,21,23,13,103,0,13,1,0,0,0.216283541,0,0,0.21347975,46.798153209,44.303208459,219971584
regular-two,first-stage-float32,00:baseline:1,12,7451,this-search,6,5,6,13,103,1,13,1,0,0,0.06889275,0.09649775,0.04264512599999999,0.069226917,1.200224792,0.183888958,219971584
