dataset,case,initialization_valid,execution_complete,joint_qualified,qualification_failure,endpoint_identified,known_unidentified,oracle_recovered,float32_accuracy_passed,independent_endpoint_replay_passed,rss,residual_rmse,projected_kkt,b_gradient_inf,local_correction_inf,profile_evaluations,accepted_updates,A_bias,A_rmse,A_p99,A_max,A_below_0_01,B_bias,B_rmse,B_p99,B_max,B_below_0_01,C_bias,C_rmse,C_p99,C_max,C_below_0_01
baseline,wider-double,True,True,True,none,True,False,True,False,True,1.3117205289527385e-27,4.1957864494084505e-16,1.3877787807814457e-16,3.7346005375121754e-17,1.2220554436271897e-16,8,7,-7.401486830834377e-17,2.2788888285094107e-15,4.440892098500626e-15,4.440892098500626e-15,12,-1.3877787807814457e-17,2.7755575615628914e-17,5.551115123125783e-17,5.551115123125783e-17,12,-1.850371707708594e-17,2.1677797545656835e-16,4.718447854656915e-16,4.718447854656915e-16,12
baseline,mixed-double,True,True,True,none,True,False,True,False,True,1.2748305079666768e-27,4.136365834727939e-16,1.6653345369377348e-16,5.499194443517451e-17,1.8031345470916378e-16,7,6,-1.4802973661668753e-16,2.082963028648268e-15,3.552713678800501e-15,3.552713678800501e-15,12,-4.625929269271485e-18,3.583229404124382e-17,1.1102230246251565e-16,1.1102230246251565e-16,12,2.312964634635743e-17,3.647157269605262e-16,1.0547118733938987e-15,1.0547118733938987e-15,12
baseline,first-stage-float32,True,True,True,none,True,False,False,True,True,5.731169523041018e-12,2.7734117147137613e-08,2.220446049250313e-16,7.372640445145439e-17,1.5313193841796367e-16,6,5,9.199803215527899e-09,4.5156733175973116e-08,6.847344025118218e-08,6.847344025118218e-08,12,3.886660530453649e-10,1.0244916969693777e-09,2.003457455490576e-09,2.003457455490576e-09,12,-3.33451856404654e-10,1.336466355963547e-09,1.995059395465404e-09,1.995059395465404e-09,12
baseline,narrower-float32,True,True,True,none,True,False,False,True,True,5.73116952297925e-12,2.7734117146988165e-08,2.220446049250313e-16,1.224998063088524e-16,1.8763193436120832e-16,7,5,9.199803659617109e-09,4.5156733883150984e-08,6.847344025118218e-08,6.847344025118218e-08,12,3.886660484194356e-10,1.024491688993618e-09,2.003457455490576e-09,2.003457455490576e-09,12,-3.334518355879723e-10,1.3364663367398277e-09,1.995059450976555e-09,1.995059450976555e-09,12
baseline,wider-float32,True,True,True,none,True,False,False,True,True,5.731169523478151e-12,2.7734117148195296e-08,1.6653345369377348e-16,9.239714309177185e-17,1.5799850617039896e-16,8,6,9.199803067498161e-09,4.515673385384284e-08,6.847343847482534e-08,6.847343847482534e-08,12,3.886660391675771e-10,1.0244916678983572e-09,2.003457455490576e-09,2.003457455490576e-09,12,-3.334518147712906e-10,1.3364663055415796e-09,1.9950597285323113e-09,1.9950597285323113e-09,12
baseline,mixed-float32,True,True,True,none,True,False,False,True,True,5.73116952564597e-12,2.7734117153440518e-08,2.220446049250313e-16,9.593826350066024e-17,1.9792214495474756e-16,7,5,9.199804325750923e-09,4.515673428829727e-08,6.847344202753902e-08,6.847344202753902e-08,12,3.8866607154908195e-10,1.0244917017337676e-09,2.003457455490576e-09,2.003457455490576e-09,12,-3.3345184483983087e-10,1.3364663126465922e-09,1.9950595619988576e-09,1.9950595619988576e-09,12
weak-1e-2,first-stage-double,True,True,True,none,True,False,True,False,True,8.206439123556787e-28,3.3187160402218513e-16,1.1102230246251565e-16,5.052518668430258e-17,2.7233258897244106e-15,17,16,4.949744318120489e-16,2.326044473765421e-15,6.217248937900877e-15,6.217248937900877e-15,12,8.326672684688674e-17,4.203236533495616e-16,1.3322676295501878e-15,1.3322676295501878e-15,12,-5.0379260948159775e-17,2.8073520787080326e-16,5.460042140637e-16,5.460042140637e-16,12
weak-1e-2,narrower-double,True,True,True,none,True,False,True,False,True,9.608390293502236e-28,3.591021755437219e-16,1.1102230246251565e-16,5.3381228409646836e-17,2.5278736707133787e-15,8,7,1.2634569316697746e-15,2.6910036423702697e-15,5.329070518200751e-15,5.329070518200751e-15,12,9.25185853854297e-18,1.4860685278828935e-16,3.885780586188048e-16,3.885780586188048e-16,12,-6.291986607657544e-17,1.8024788565550797e-16,3.3306690738754696e-16,3.3306690738754696e-16,12
weak-1e-2,wider-double,True,True,True,none,True,False,True,False,True,1.4823218877729e-27,4.460299061655558e-16,1.942890293094024e-16,7.842745383336303e-17,1.9066030075804545e-15,10,9,1.0512424264419451e-15,3.5523409647530537e-15,9.769962616701378e-15,9.769962616701378e-15,12,-3.700743415417188e-17,3.276255416892614e-16,7.771561172376096e-16,7.771561172376096e-16,12,-7.477380982908362e-17,3.0148221701206006e-16,6.94323071259717e-16,6.94323071259717e-16,12
weak-1e-2,mixed-double,True,True,True,none,True,False,True,False,True,9.395765396137697e-28,3.5510664602553666e-16,1.3877787807814457e-16,6.130401469968047e-17,1.4336474828356804e-15,9,8,1.3767921987669258e-15,2.837903691042133e-15,6.217248937900877e-15,6.217248937900877e-15,12,2.312964634635743e-17,2.807752346455272e-16,8.881784197001252e-16,8.881784197001252e-16,12,-3.729655473350135e-17,1.3615818207231076e-16,2.7755575615628914e-16,2.7755575615628914e-16,12
